ELO_name,Opta_name,Country,Level,Elo,Rating,predicted_Elo,error
Sunderland,Sunderland,ENG,1.0,1634.46,85.8,1712.76,-78.0
Ajax,Ajax,NED,1.0,1630.86,80.3,1580.68,50.0
Wolfsburg,Wolfsburg,GER,1.0,1627.59,81.1,1599.89,28.0
Coventry,Coventry City,ENG,2.0,1623.37,83.3,1652.72,-29.0
Alkmaar,Az,NED,1.0,1622.2,82.0,1621.5,1.0
Union Berlin,Union Berlin,GER,1.0,1619.31,81.4,1607.09,12.0
Fc Kobenhavn,København,DEN,1.0,1616.84,81.7,1614.3,3.0
Udinese,Udinese,ITA,1.0,1612.24,80.6,1587.88,24.0
Sassuolo,Sassuolo,ITA,1.0,1611.18,79.5,1561.46,50.0
Levante,Levante,ESP,1.0,1610.54,80.5,1585.48,25.0
Elche,Elche,ESP,1.0,1609.4,81.4,1607.09,2.0
Genoa,Genoa,ITA,1.0,1605.08,79.6,1563.87,41.0
Genk,Genk,BEL,1.0,1602.66,82.6,1635.91,-33.0
Augsburg,Augsburg,GER,1.0,1601.27,80.3,1580.68,21.0
Leicester,Leicester City,ENG,2.0,1600.48,79.6,1563.87,37.0
Paok,Paok,GRE,1.0,1600.43,81.8,1616.7,-16.0
Sparta Praha,Sparta Praha,CZE,1.0,1599.25,79.5,1561.46,38.0
Gladbach,Borussia M'Gladbach,GER,1.0,1598.08,81.1,1599.89,-2.0
Auxerre,Auxerre,FRA,1.0,1597.26,78.4,1535.05,62.0
Girona,Girona,ESP,1.0,1594.97,79.1,1551.86,43.0
Cagliari,Cagliari,ITA,1.0,1593.96,78.8,1544.65,49.0
Viktoria Plzen,Viktoria Plzeň,CZE,1.0,1590.91,81.2,1602.29,-11.0
Lorient,Lorient,FRA,1.0,1589.49,77.1,1503.83,86.0
Celtic,Celtic,SCO,1.0,1587.69,80.6,1587.88,0.0
Parma,Parma,ITA,1.0,1586.93,78.9,1547.06,40.0
Nantes,Nantes,FRA,1.0,1586.72,77.8,1520.64,66.0
Koeln,Köln,GER,1.0,1583.16,81.0,1597.49,-14.0
Leganes,Leganés,ESP,2.0,1582.03,76.0,1477.41,105.0
Cremonese,Cremonese,ITA,1.0,1581.05,80.1,1575.87,5.0
Ipswich,Ipswich Town,ENG,2.0,1580.32,80.5,1585.48,-5.0
Middlesbrough,Middlesbrough,ENG,2.0,1576.95,80.2,1578.27,-1.0
Le Havre,Le Havre,FRA,1.0,1573.04,78.0,1525.44,48.0
Las Palmas,Las Palmas,ESP,2.0,1569.59,76.3,1484.62,85.0
St Pauli,St. Pauli,GER,1.0,1568.95,78.1,1527.84,41.0
Brondby,Brøndby,DEN,1.0,1567.69,79.5,1561.46,6.0
Verona,Hellas Verona,ITA,1.0,1565.98,77.6,1515.84,50.0
Hamburg,Hamburger Sv,GER,1.0,1565.79,79.2,1554.26,12.0
Viking,Viking,NOR,1.0,1565.23,81.1,1599.89,-35.0
Lecce,Lecce,ITA,1.0,1563.9,78.4,1535.05,29.0
Reims,Reims,FRA,2.0,1562.13,72.6,1395.76,166.0
Brann,Brann,NOR,1.0,1562.12,80.0,1573.47,-11.0
Oviedo,Real Oviedo,ESP,1.0,1561.53,78.7,1542.25,19.0
Bristol City,Bristol City,ENG,2.0,1559.93,79.1,1551.86,8.0
Anderlecht,Anderlecht,BEL,1.0,1557.03,86.2,1722.36,-165.0
Paris Fc,Paris Fc,FRA,1.0,1554.06,77.9,1523.04,31.0
Mjaellby,Mjällby,SWE,1.0,1553.72,81.5,1609.49,-56.0
Twente,Twente,NED,1.0,1552.88,77.9,1523.04,30.0
Angers,Angers Sco,FRA,1.0,1551.73,77.7,1518.24,33.0
Venezia,Venezia,ITA,2.0,1551.56,74.4,1438.99,113.0
Millwall,Millwall,ENG,2.0,1550.8,79.2,1554.26,-3.0
Dinamo Zagreb,Dinamo Zagreb,CRO,1.0,1549.36,81.6,1611.9,-63.0
Guimaraes,Vitória Guimarães,POR,1.0,1549.33,78.0,1525.44,24.0
Almeria,Almería,ESP,2.0,1548.68,76.9,1499.03,50.0
Sheffield United,Sheffield United,ENG,2.0,1548.13,78.2,1530.25,18.0
Famalicao,Famalicão,POR,1.0,1547.6,78.7,1542.25,5.0
Metz,Metz,FRA,1.0,1546.47,76.4,1487.02,59.0
Aek,Aek Athens,GRE,1.0,1545.31,78.3,1532.65,13.0
Utrecht,Utrecht,NED,1.0,1541.51,78.1,1527.84,14.0
Aarhus,Agf,DEN,1.0,1540.27,78.7,1542.25,-2.0
Santander,Racing De Santander,ESP,2.0,1538.55,76.7,1494.22,44.0
Panathinaikos,Panathinaikos,GRE,1.0,1536.79,78.9,1547.06,-10.0
Saint-Etienne,Saint-Étienne,FRA,2.0,1535.97,73.2,1410.17,126.0
Heidenheim,Heidenheim,GER,1.0,1535.72,77.9,1523.04,13.0
Monza,Monza,ITA,2.0,1534.07,74.9,1451.0,83.0
Pisa,Pisa,ITA,1.0,1531.71,78.3,1532.65,-1.0
Elversberg,Elversberg,GER,2.0,1530.31,78.3,1532.65,-2.0
West Brom,West Bromwich Albion,ENG,2.0,1529.9,78.2,1530.25,0.0
Paderborn,Paderborn,GER,2.0,1529.47,78.9,1547.06,-18.0
Southampton,Southampton,ENG,2.0,1527.91,78.4,1535.05,-7.0
Basel,Basel,SUI,1.0,1527.74,79.8,1568.67,-41.0
