Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Unia Skierniewice,1066.29,64.4,7994,283,170,79.9,82.8,84.5,1.25,1.21,1.18
Warta Poznań,1102.42,62.98,7150,36,476,71.5,71.9,76.6,1.4,1.39,1.31
Olimpia Grudziądz,1066.29,56.88,1939,425,27,19.4,23.6,23.9,5.16,4.23,4.18
Podhale Nowy Targ,1021.13,55.0,1166,101,235,11.7,12.7,15.0,8.58,7.89,6.66
Świt Skolwin,1030.16,52.66,502,87,111,5.0,5.9,7.0,20,17,14
Stal Stalowa Wola,1055.0,48.28,82,41,0,0.8,1.2,1.2,122,81,81
Resovia Rzeszów,1041.45,46.8,45,20,1,0.4,0.6,0.7,222,154,152
Chojniczanka Chojnice,1059.52,46.92,31,17,1,0.3,0.5,0.5,323,208,204
Zaglebie Sosnowiec,1003.07,44.37,17,3,9,0.2,0.2,0.3,588,500,345
Podbeskidzie,1023.39,45.6,21,4,7,0.2,0.2,0.3,476,400,312
Sandecja Nowy Sącz,998.55,44.83,11,1,5,0.1,0.1,0.2,909,833,588
Sokół Kleczew,1007.58,43.61,6,7,1,0.1,0.1,0.1,1667,769,714
Śląsk Wrocław II,1012.1,44.06,5,6,0,0.0,0.1,0.1,2000,909,909
Hutnik Kraków,987.26,39.67,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Rekord Bielsko-Biała,994.03,40.07,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Kalisz,987.26,37.69,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
ŁKS Łódź II,930.81,28.71,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Jastrzębie,935.33,23.24,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
