Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Raków Częstochowa,1549.5,58.36,7199,28,505,72.0,72.3,77.3,1.39,1.38,1.29
Jagiellonia,1529.18,57.84,6712,339,241,67.1,70.5,72.9,1.49,1.42,1.37
Gornik Zabrze,1513.38,55.25,4819,108,584,48.2,49.3,55.1,2.08,2.03,1.81
Lech Poznan,1520.15,53.44,3462,304,342,34.6,37.7,41.1,2.89,2.66,2.43
Wisla Plock,1443.38,51.34,1995,358,121,20.0,23.5,24.7,5.01,4.25,4.04
Cracovia Krakow,1481.76,50.96,1778,294,228,17.8,20.7,23.0,5.62,4.83,4.35
Radomiak Radom,1420.8,46.63,453,180,15,4.5,6.3,6.5,22.0,16.0,15.0
Korona Kielce,1452.41,46.16,366,123,41,3.7,4.9,5.3,27.0,20.0,19.0
Zaglebie Lubin,1414.02,45.72,363,135,11,3.6,5.0,5.1,28.0,20.0,20.0
Legia Warszawa,1497.57,45.28,298,120,7,3.0,4.2,4.2,34.0,24.0,24.0
Pogon Szczecin,1465.96,43.83,150,47,23,1.5,2.0,2.2,67.0,51.0,45.0
Lechia Gdansk,1384.67,43.82,136,32,45,1.4,1.7,2.1,74.0,60.0,47.0
GKS Katowice,1427.57,42.07,83,15,28,0.8,1.0,1.3,120.0,102.0,79.0
Motor Lublin,1398.22,40.22,33,9,28,0.3,0.4,0.7,303.0,238.0,143.0
Piast Gliwice,1402.73,38.78,16,16,0,0.2,0.3,0.3,625.0,312.0,312.0
Arka Gdynia,1375.64,39.09,12,0,7,0.1,0.1,0.2,833.0,833.0,526.0
Widzew Łódź,1391.44,38.86,9,5,0,0.1,0.1,0.1,1111.0,714.0,714.0
Nieciecza,1341.77,35.68,3,0,0,0.0,0.0,0.0,3333.0,3333.0,3333.0
