Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Aston Villa,1912,19.49,9632,43,168,96.3,96.8,98.4,1.04,1.03,1.02
Lyon,1737,18.83,8867,566,133,88.7,94.3,95.7,1.13,1.06,1.05
FC Midtjylland,1679,18.72,8821,399,320,88.2,92.2,95.4,1.13,1.08,1.05
SC Freiburg,1711,17.38,7557,415,711,75.6,79.7,86.8,1.32,1.25,1.15
Real Betis,1756,17.53,7392,637,559,73.9,80.3,85.9,1.35,1.25,1.16
FC Porto,1768,17.18,6657,405,1401,66.6,70.6,84.6,1.5,1.42,1.18
SC Braga,1686,16.18,4427,726,1126,44.3,51.5,62.8,2.26,1.94,1.59
Ferencvarosi TC,1543,16.11,4220,130,1607,42.2,43.5,59.6,2.37,2.3,1.68
AS Roma,1808,15.84,3872,894,877,38.7,47.7,56.4,2.58,2.1,1.77
Bologna,1766,15.27,3134,1073,463,31.3,42.1,46.7,3.19,2.38,2.14
Nottingham Forest,1776,14.71,2180,768,350,21.8,29.5,33.0,4.59,3.39,3.03
VfB Stuttgart,1731,15.16,2033,1608,161,20.3,36.4,38.0,4.92,2.75,2.63
Fenerbahçe,1698,13.88,863,431,302,8.6,12.9,16.0,12,7.73,6.27
Genk,1591,13.38,353,177,766,3.5,5.3,13.0,28,19,7.72
FK Crvena Zvezda,1570,12.75,212,0,563,2.1,2.1,7.8,47,47,13
Panathinaikos,1543,11.92,193,148,70,1.9,3.4,4.1,52,29,24
Plzen,1566,12.27,152,433,48,1.5,5.9,6.3,66,17,16
PAOK,1616,10.98,1,137,0,0.0,1.4,1.4,10000,72,72
Celta Vigo,1683,11.87,4,228,10,0.0,2.3,2.4,2500,43,41
Lille,1754,12.06,5,207,61,0.0,2.1,2.7,2000,47,37
BSC Young Boys,1506,10.43,0,0,54,0.0,0.0,0.5,N/A,N/A,185
Brann,1523,10.45,0,0,1,0.0,0.0,0.0,N/A,N/A,10000
Ludogorets,1448,9.06,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Celtic,1586,9.4,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Dinamo Zagreb,1520,9.51,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
FC Basel 1893,1511,8.59,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
FCSB,1448,7.77,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
GO Ahead Eagles,1458,7.6,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Sturm Graz,1462,6.01,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Feyenoord,1638,5.92,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Red Bull Salzburg,1495,4.75,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Utrecht,1529,3.36,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Rangers,1508,3.2,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Malmo FF,1448,2.92,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Maccabi Tel Aviv,1450,2.16,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Nice,1606,3.71,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
