Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Aston Villa,1880,18.61,2313,120,2091,23.1,24.3,45.2,4.32,4.11,2.21
Lyon,1743,18.34,1982,2056,0,19.8,40.4,40.4,5.05,2.48,2.48
FC Midtjylland,1663,17.28,911,660,725,9.1,15.7,23.0,11,6.37,4.36
Real Betis,1749,16.35,560,83,167,5.6,6.4,8.1,18,16,12
SC Freiburg,1710,16.52,490,80,166,4.9,5.7,7.4,20,18,14
FC Porto,1756,16.45,234,126,575,2.3,3.6,9.4,43,28,11
Ferencvarosi TC,1522,14.44,62,2,43,0.6,0.6,1.1,161,156,93
Genk,1615,14.46,60,0,186,0.6,0.6,2.5,167,167,41
SC Braga,1656,14.17,32,50,79,0.3,0.8,1.6,312,122,62
Lille,1758,14.05,7,48,32,0.1,0.5,0.9,1429,182,115
VfB Stuttgart,1748,14.72,6,38,48,0.1,0.4,0.9,1667,227,109
AS Roma,1817,14.53,12,10,87,0.1,0.2,1.1,833,455,92
Plzen,1591,12.69,2,11,16,0.0,0.1,0.3,5000,769,345
Celta Vigo,1681,13.16,4,20,24,0.0,0.2,0.5,2500,417,208
Panathinaikos,1558,12.61,1,2,27,0.0,0.0,0.3,10000,3333,333
Nottingham Forest,1778,13.79,0,10,4,0.0,0.1,0.1,N/A,1000,714
Bologna,1773,13.64,2,3,5,0.0,0.0,0.1,5000,2000,1000
PAOK,1608,11.58,0,2,3,0.0,0.0,0.0,N/A,5000,2000
Brann,1535,11.57,0,1,2,0.0,0.0,0.0,N/A,10000,3333
Fenerbahçe,1691,12.65,0,0,6,0.0,0.0,0.1,N/A,N/A,1667
FK Crvena Zvezda,1571,11.15,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Celtic,1611,10.44,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Dinamo Zagreb,1523,10.55,0,0,1,0.0,0.0,0.0,N/A,N/A,10000
FC Basel 1893,1508,8.99,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Ludogorets,1446,8.96,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
GO Ahead Eagles,1456,8.02,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
BSC Young Boys,1504,8.21,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Sturm Graz,1487,7.41,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Feyenoord,1644,7.71,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Red Bull Salzburg,1504,5.43,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
FCSB,1431,5.63,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Utrecht,1539,4.11,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Rangers,1526,4.47,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Malmo FF,1449,3.28,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Maccabi Tel Aviv,1463,2.58,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Nice,1640,5.46,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
