Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Górnik Łęczna,1285.32,28.37,8298,22,408,83.0,83.2,87.3,1.21,1.2,1.15
Stal Mielec,1294.35,28.51,8283,256,194,82.8,85.4,87.3,1.21,1.17,1.15
Tychy 71,1294.35,28.56,8177,155,295,81.8,83.3,86.3,1.22,1.2,1.16
Znicz Pruszków,1298.87,33.54,3502,707,0,35.0,42.1,42.1,2.86,2.38,2.38
Odra Opole,1310.16,41.03,194,53,60,1.9,2.5,3.1,52,40,33
Puszcza Niepołomice,1346.28,41.31,175,9,128,1.8,1.8,3.1,57,54,32
Pogoń Siedlce,1316.93,41.64,158,5,93,1.6,1.6,2.6,63,61,39
Wisla Krakow,1468.22,69.15,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Chrobry Głogów,1350.8,54.64,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Wieczysta Kraków,1359.83,54.53,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
ŁKS Łódź,1348.54,48.95,0,1,0,0.0,0.0,0.0,N/A,10000,10000
Miedz Legnica,1382.41,51.81,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Slask Wroclaw,1382.41,51.88,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Stal Rzeszów,1334.99,51.08,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Polonia Bytom,1339.51,50.52,0,1,1,0.0,0.0,0.0,N/A,10000,5000
Pogoń Grod. Mazowiecki,1341.77,52.55,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Polonia Warszawa,1382.41,54.36,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Ruch Chorzów,1353.06,47.29,2,2,3,0.0,0.0,0.1,5000,2500,1429
