Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + Wins in TB,% Wins + all TB
Aston Villa,1880,18.65,9161,88,417,91.6,92.5,96.7
Lyon,1743,18.38,8847,645,50,88.5,94.9,95.4
FC Midtjylland,1663,17.29,7502,695,428,75.0,82.0,86.2
FC Porto,1756,16.43,6639,304,880,66.4,69.4,78.2
SC Freiburg,1710,16.52,6502,455,903,65.0,69.6,78.6
Real Betis,1749,16.35,5995,539,1025,60.0,65.3,75.6
AS Roma,1817,14.59,3061,310,1568,30.6,33.7,49.4
Genk,1615,14.45,2869,34,1246,28.7,29.0,41.5
VfB Stuttgart,1748,14.69,2601,1366,1017,26.0,39.7,49.8
SC Braga,1656,14.2,2532,626,582,25.3,31.6,37.4
Ferencvarosi TC,1522,14.46,2506,222,1286,25.1,27.3,40.1
Lille,1758,14.09,2364,1137,459,23.6,35.0,39.6
Nottingham Forest,1778,13.75,1733,1380,31,17.3,31.1,31.4
Bologna,1773,13.62,1580,986,299,15.8,25.7,28.6
Celta Vigo,1681,13.1,1304,928,188,13.0,22.3,24.2
Plzen,1591,12.75,974,487,459,9.7,14.6,19.2
Panathinaikos,1558,12.52,743,238,735,7.4,9.8,17.2
Fenerbahçe,1691,12.6,688,13,764,6.9,7.0,14.6
Brann,1535,11.56,334,307,142,3.3,6.4,7.8
PAOK,1608,11.57,286,372,87,2.9,6.6,7.4
FK Crvena Zvezda,1571,11.17,259,31,208,2.6,2.9,5.0
Dinamo Zagreb,1523,10.5,150,0,100,1.5,1.5,2.5
Celtic,1611,10.47,126,27,72,1.3,1.5,2.2
FC Basel 1893,1508,8.99,7,35,31,0.1,0.4,0.7
Ludogorets,1446,8.95,5,3,64,0.0,0.1,0.7
GO Ahead Eagles,1456,8.02,1,0,21,0.0,0.0,0.2
BSC Young Boys,1504,8.15,3,0,35,0.0,0.0,0.4
Sturm Graz,1487,7.42,0,0,0,0.0,0.0,0.0
FCSB,1431,5.62,0,0,0,0.0,0.0,0.0
Feyenoord,1644,7.73,0,0,0,0.0,0.0,0.0
Red Bull Salzburg,1504,5.42,0,0,0,0.0,0.0,0.0
Utrecht,1539,4.15,0,0,0,0.0,0.0,0.0
Rangers,1526,4.5,0,0,0,0.0,0.0,0.0
Malmo FF,1449,3.27,0,0,0,0.0,0.0,0.0
Maccabi Tel Aviv,1463,2.59,0,0,0,0.0,0.0,0.0
Nice,1640,5.45,0,0,0,0.0,0.0,0.0
