Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Aston Villa,1880,18.62,2340,136,2122,23.4,24.8,46.0,4.27,4.04,2.17
Lyon,1743,18.35,1969,2070,0,19.7,40.4,40.4,5.08,2.48,2.48
FC Midtjylland,1663,17.31,922,686,743,9.2,16.1,23.5,11,6.22,4.25
Real Betis,1749,16.35,504,85,193,5.0,5.9,7.8,20,17,13
SC Freiburg,1710,16.56,490,93,196,4.9,5.8,7.8,20,17,13
FC Porto,1756,16.42,218,97,597,2.2,3.2,9.1,46,32,11
Genk,1615,14.5,71,1,182,0.7,0.7,2.5,141,139,39
Ferencvarosi TC,1522,14.45,57,2,57,0.6,0.6,1.2,175,169,86
SC Braga,1656,14.19,34,50,86,0.3,0.8,1.7,294,119,59
Lille,1758,14.05,9,44,45,0.1,0.5,1.0,1111,189,102
AS Roma,1817,14.55,7,12,87,0.1,0.2,1.1,1429,526,94
VfB Stuttgart,1748,14.7,11,46,55,0.1,0.6,1.1,909,175,89
Plzen,1591,12.69,0,7,26,0.0,0.1,0.3,N/A,1429,303
Celta Vigo,1681,13.1,0,23,14,0.0,0.2,0.4,N/A,435,270
Panathinaikos,1558,12.56,2,2,16,0.0,0.0,0.2,5000,2500,500
Nottingham Forest,1778,13.75,1,6,6,0.0,0.1,0.1,10000,1429,769
Brann,1535,11.52,0,2,2,0.0,0.0,0.0,N/A,5000,2500
PAOK,1608,11.59,0,1,0,0.0,0.0,0.0,N/A,10000,10000
Bologna,1773,13.59,0,2,6,0.0,0.0,0.1,N/A,5000,1250
Fenerbahçe,1691,12.64,0,0,6,0.0,0.0,0.1,N/A,N/A,1667
Celtic,1611,10.45,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
FK Crvena Zvezda,1571,11.19,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Dinamo Zagreb,1523,10.51,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
FC Basel 1893,1508,9.01,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Ludogorets,1446,8.96,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
BSC Young Boys,1504,8.18,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
GO Ahead Eagles,1456,7.99,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Sturm Graz,1487,7.46,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Feyenoord,1644,7.69,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
FCSB,1431,5.61,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Red Bull Salzburg,1504,5.42,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Utrecht,1539,4.14,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Rangers,1526,4.53,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Malmo FF,1449,3.25,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Maccabi Tel Aviv,1463,2.64,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Nice,1640,5.44,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
