Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + Wins in TB,% Wins + all TB
Aston Villa,1880,18.62,2403,129,2059,24.0,25.3,45.9
Lyon,1743,18.37,1975,2121,0,19.8,41.0,41.0
FC Midtjylland,1663,17.29,911,564,753,9.1,14.8,22.3
Real Betis,1749,16.33,511,79,190,5.1,5.9,7.8
SC Freiburg,1710,16.5,450,69,154,4.5,5.2,6.7
FC Porto,1756,16.46,295,95,547,2.9,3.9,9.4
Ferencvarosi TC,1522,14.46,66,5,71,0.7,0.7,1.4
Genk,1615,14.46,71,0,160,0.7,0.7,2.3
SC Braga,1656,14.17,33,49,80,0.3,0.8,1.6
Plzen,1591,12.7,7,12,16,0.1,0.2,0.4
AS Roma,1817,14.52,10,12,90,0.1,0.2,1.1
Lille,1758,14.07,10,50,36,0.1,0.6,1.0
VfB Stuttgart,1748,14.68,5,32,53,0.0,0.4,0.9
Celta Vigo,1681,13.13,2,19,18,0.0,0.2,0.4
Panathinaikos,1558,12.58,1,3,19,0.0,0.0,0.2
Nottingham Forest,1778,13.75,0,7,2,0.0,0.1,0.1
PAOK,1608,11.55,0,0,0,0.0,0.0,0.0
Brann,1535,11.57,0,1,1,0.0,0.0,0.0
Bologna,1773,13.63,0,3,5,0.0,0.0,0.1
Fenerbahçe,1691,12.62,0,0,7,0.0,0.0,0.1
FK Crvena Zvezda,1571,11.15,0,0,0,0.0,0.0,0.0
Celtic,1611,10.45,0,0,0,0.0,0.0,0.0
Dinamo Zagreb,1523,10.52,0,0,0,0.0,0.0,0.0
FC Basel 1893,1508,9.01,0,0,0,0.0,0.0,0.0
Ludogorets,1446,8.97,0,0,0,0.0,0.0,0.0
GO Ahead Eagles,1456,8.03,0,0,0,0.0,0.0,0.0
BSC Young Boys,1504,8.2,0,0,0,0.0,0.0,0.0
Sturm Graz,1487,7.44,0,0,0,0.0,0.0,0.0
FCSB,1431,5.57,0,0,0,0.0,0.0,0.0
Feyenoord,1644,7.76,0,0,0,0.0,0.0,0.0
Red Bull Salzburg,1504,5.42,0,0,0,0.0,0.0,0.0
Utrecht,1539,4.15,0,0,0,0.0,0.0,0.0
Rangers,1526,4.51,0,0,0,0.0,0.0,0.0
Malmo FF,1449,3.27,0,0,0,0.0,0.0,0.0
Maccabi Tel Aviv,1463,2.59,0,0,0,0.0,0.0,0.0
Nice,1640,5.45,0,0,0,0.0,0.0,0.0
