Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Jagiellonia,1612.73,58.09,8728,275,85,87.3,90.0,90.9,1.15,1.11,1.1
Lech Poznan,1624.02,52.56,5101,295,458,51.0,54.0,58.5,1.96,1.85,1.71
Gornik Zabrze,1576.6,52.25,4821,73,661,48.2,48.9,55.6,2.07,2.04,1.8
Raków Częstochowa,1635.31,52.13,4802,141,639,48.0,49.4,55.8,2.08,2.02,1.79
Cracovia Krakow,1583.37,51.21,3889,387,354,38.9,42.8,46.3,2.57,2.34,2.16
Wisla Plock,1547.25,49.68,2678,365,280,26.8,30.4,33.2,3.73,3.29,3.01
Zaglebie Lubin,1551.76,49.34,2516,404,178,25.2,29.2,31.0,3.97,3.42,3.23
Korona Kielce,1563.05,47.95,1627,383,150,16.3,20.1,21.6,6.15,4.98,4.63
Radomiak Radom,1547.25,45.85,826,329,26,8.3,11.6,11.8,12.0,8.66,8.47
GKS Katowice,1556.28,45.36,701,45,283,7.0,7.5,10.3,14.0,13.0,9.72
Lechia Gdansk,1556.28,45.05,589,219,1,5.9,8.1,8.1,17.0,12.0,12.0
Piast Gliwice,1556.28,44.02,379,81,85,3.8,4.6,5.4,26.0,22.0,18.0
Pogon Szczecin,1554.02,41.74,140,34,30,1.4,1.7,2.0,71.0,57.0,49.0
Motor Lublin,1517.89,39.7,45,6,25,0.4,0.5,0.8,222.0,196.0,132.0
Arka Gdynia,1499.83,38.24,39,0,22,0.4,0.4,0.6,256.0,256.0,164.0
Widzew Łódź,1517.89,39.25,29,13,0,0.3,0.4,0.4,345.0,238.0,238.0
Legia Warszawa,1549.5,38.34,20,15,0,0.2,0.4,0.4,500.0,286.0,286.0
Nieciecza,1495.31,36.09,5,0,4,0.0,0.0,0.1,2000.0,2000.0,1111.0
