Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Wisla Krakow,1386.93,68.57,9383,179,0,93.8,95.6,95.6,1.07,1.05,1.05
Polonia Warszawa,1303.38,56.57,209,0,93,2.1,2.1,3.0,48,48,33
Chrobry Głogów,1269.51,53.89,62,3,21,0.6,0.6,0.9,161,154,116
Pogoń Grod. Mazowiecki,1246.93,53.99,41,7,29,0.4,0.5,0.8,244,208,130
Wieczysta Kraków,1274.03,53.56,38,6,20,0.4,0.4,0.6,263,227,156
Slask Wroclaw,1298.87,53.61,45,3,30,0.4,0.5,0.8,222,208,128
Miedz Legnica,1283.06,51.23,10,0,10,0.1,0.1,0.2,1000,1000,500
Polonia Bytom,1242.42,49.25,4,0,2,0.0,0.0,0.1,2500,2500,1667
Stal Rzeszów,1231.13,49.29,5,0,4,0.0,0.0,0.1,2000,2000,1111
Ruch Chorzów,1251.45,48.83,3,1,3,0.0,0.0,0.1,3333,2500,1429
ŁKS Łódź,1265.0,48.85,1,0,0,0.0,0.0,0.0,10000,10000,10000
Puszcza Niepołomice,1262.74,43.25,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Pogoń Siedlce,1222.09,40.95,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Odra Opole,1206.29,39.03,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Znicz Pruszków,1197.25,33.7,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Stal Mielec,1185.96,29.82,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Górnik Łęczna,1188.22,28.15,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Tychy 71,1188.22,26.89,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
