Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Wisla Krakow,1468.22,69.11,9998,2,0,100.0,100.0,100.0,1.0,1.0,1.0
Chrobry Głogów,1350.8,54.61,7052,389,226,70.5,74.4,76.7,1.42,1.34,1.3
Wieczysta Kraków,1359.83,54.67,6952,646,4,69.5,76.0,76.0,1.44,1.32,1.32
Polonia Warszawa,1382.41,54.26,6683,195,489,66.8,68.8,73.7,1.5,1.45,1.36
Pogoń Grod. Mazowiecki,1341.77,52.56,5263,588,159,52.6,58.5,60.1,1.9,1.71,1.66
Slask Wroclaw,1382.41,51.97,4700,420,383,47.0,51.2,55.0,2.13,1.95,1.82
Miedz Legnica,1382.41,51.81,4566,107,715,45.7,46.7,53.9,2.19,2.14,1.86
Stal Rzeszów,1334.99,51.07,3920,8,738,39.2,39.3,46.7,2.55,2.55,2.14
Polonia Bytom,1339.51,50.54,3454,618,111,34.5,40.7,41.8,2.9,2.46,2.39
ŁKS Łódź,1348.54,48.93,2263,188,466,22.6,24.5,29.2,4.42,4.08,3.43
Ruch Chorzów,1353.06,47.24,1316,262,194,13.2,15.8,17.7,7.6,6.34,5.64
Pogoń Siedlce,1316.93,41.75,113,60,5,1.1,1.7,1.8,88,58,56
Puszcza Niepołomice,1346.28,41.28,90,43,11,0.9,1.3,1.4,111,75,69
Odra Opole,1310.16,40.91,84,20,29,0.8,1.0,1.3,119,96,75
Znicz Pruszków,1298.87,33.59,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Górnik Łęczna,1285.32,28.36,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Tychy 71,1294.35,28.66,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Stal Mielec,1294.35,28.52,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
