Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Nieciecza,1495.31,36.13,6488,492,184,64.9,69.8,71.6,1.54,1.43,1.4
Arka Gdynia,1499.83,38.22,4655,718,0,46.6,53.7,53.7,2.15,1.86,1.86
Legia Warszawa,1549.5,38.29,4608,27,720,46.1,46.4,53.6,2.17,2.16,1.87
Widzew Łódź,1517.89,39.34,3628,128,619,36.3,37.6,43.8,2.76,2.66,2.29
Motor Lublin,1517.89,39.73,3348,545,171,33.5,38.9,40.6,2.99,2.57,2.46
Pogon Szczecin,1554.02,41.72,1861,261,362,18.6,21.2,24.8,5.37,4.71,4.03
Piast Gliwice,1556.28,44.0,855,150,210,8.6,10.0,12.2,12,9.95,8.23
Lechia Gdansk,1556.28,44.93,585,28,256,5.9,6.1,8.7,17,16,12
GKS Katowice,1556.28,45.42,532,176,57,5.3,7.1,7.6,19,14,13
Radomiak Radom,1547.25,45.79,480,51,165,4.8,5.3,7.0,21,19,14
Korona Kielce,1563.05,47.95,132,24,56,1.3,1.6,2.1,76,64,47
Zaglebie Lubin,1551.76,49.3,62,21,28,0.6,0.8,1.1,161,120,90
Wisla Plock,1547.25,49.75,43,12,22,0.4,0.5,0.8,233,182,130
Cracovia Krakow,1583.37,51.09,15,13,12,0.2,0.3,0.4,667,357,250
Raków Częstochowa,1635.31,52.26,21,11,6,0.2,0.3,0.4,476,312,263
Gornik Zabrze,1576.6,52.3,6,6,1,0.1,0.1,0.1,1667,833,769
Lech Poznan,1624.02,52.4,10,8,6,0.1,0.2,0.2,1000,556,417
Jagiellonia,1612.73,58.16,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
