Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Arsenal,2037,22.39,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Bayern München,1988,19.01,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Paris Saint Germain,1982,16.66,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Manchester City,1956,17.45,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Atalanta,1795,16.12,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Inter,1917,14.52,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Real Madrid,1934,15.9,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Atletico Madrid,1875,15.93,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Liverpool,1918,16.11,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Borussia Dortmund,1855,13.68,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Tottenham,1809,13.75,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Barcelona,1917,14.35,9985,15,0,99.9,100.0,100.0,1.0,1.0,1.0
Chelsea,1912,14.03,9978,22,0,99.8,100.0,100.0,1.0,1.0,1.0
Newcastle,1856,12.5,9939,61,0,99.4,100.0,100.0,1.01,1.0,1.0
Sporting CP,1814,12.52,9938,62,0,99.4,100.0,100.0,1.01,1.0,1.0
Bayer Leverkusen,1874,12.61,9652,84,228,96.5,97.4,99.6,1.04,1.03,1.0
Juventus,1793,12.02,9284,592,50,92.8,98.8,99.3,1.08,1.01,1.01
Marseille,1787,11.45,8820,1007,48,88.2,98.3,98.8,1.13,1.02,1.01
Monaco,1710,10.83,8483,738,636,84.8,92.2,98.6,1.18,1.08,1.01
Galatasaray,1718,10.61,8218,1192,443,82.2,94.1,98.5,1.22,1.06,1.01
Napoli,1824,10.15,7083,407,693,70.8,74.9,81.8,1.41,1.34,1.22
PSV Eindhoven,1813,10.06,6342,2194,0,63.4,85.4,85.4,1.58,1.17,1.17
Qarabag,1567,8.34,3117,910,318,31.2,40.3,43.4,3.21,2.48,2.3
Benfica,1782,8.23,2979,1609,272,29.8,45.9,48.6,3.36,2.18,2.06
Club Brugge KV,1740,7.94,2970,298,657,29.7,32.7,39.2,3.37,3.06,2.55
FC Copenhagen,1603,8.27,2855,65,1116,28.6,29.2,40.4,3.5,3.42,2.48
Union St. Gilloise,1741,7.92,2224,30,2025,22.2,22.5,42.8,4.5,4.44,2.34
Eintracht Frankfurt,1748,7.11,1711,245,620,17.1,19.6,25.8,5.84,5.11,3.88
Olympiakos Piraeus,1683,7.52,1571,692,1144,15.7,22.6,34.1,6.37,4.42,2.94
Pafos,1555,7.46,1459,443,1325,14.6,19.0,32.3,6.85,5.26,3.1
Athletic Club,1719,7.18,1124,947,641,11.2,20.7,27.1,8.9,4.83,3.69
Slavia Praha,1689,5.45,270,113,464,2.7,3.8,8.5,37,26,12
Ajax,1567,4.79,96,0,274,1.0,1.0,3.7,104,104,27
Bodo/Glimt,1639,4.19,45,122,8,0.4,1.7,1.8,222,60,57
Villarreal,1777,4.11,0,9,5,0.0,0.1,0.1,N/A,1111,714
Kairat Almaty,1303,1.42,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
