Club,Elo,xPts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Wisla Krakow,1266.75,68.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.5,98.5
Slask Wroclaw,1182.11,58.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.7,1.4,2.5,4.4,7.8,17.6,63.8,1.2
Chrobry Głogów,1120.03,55.23,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,1.3,2.7,4.3,5.8,9.0,12.4,19.5,29.4,14.5,0.3
Ruch Chorzów,1128.49,52.61,0.0,0.0,0.0,0.0,0.0,0.4,1.4,2.9,5.0,8.2,9.6,11.9,13.3,14.3,15.5,13.2,4.3,0.0
ŁKS Łódź,1134.14,52.13,0.0,0.0,0.0,0.0,0.0,0.6,1.9,4.9,6.9,9.0,11.0,12.8,13.1,14.3,12.6,8.9,4.0,0.0
Wieczysta Kraków,1097.46,51.77,0.0,0.0,0.0,0.0,0.1,1.5,3.8,5.8,7.8,10.1,10.5,11.4,12.0,11.5,11.3,10.4,3.9,0.0
Polonia Warszawa,1139.78,51.38,0.0,0.0,0.0,0.0,0.1,1.3,4.0,7.1,8.3,10.4,12.8,13.0,12.0,11.8,9.7,6.4,3.2,0.0
Miedz Legnica,1136.96,51.08,0.0,0.0,0.0,0.0,0.1,1.2,4.0,6.6,10.0,11.1,12.5,13.2,12.7,11.5,9.2,6.2,1.7,0.0
Pogoń Grod. Mazowiecki,1066.42,50.91,0.0,0.0,0.0,0.0,0.1,1.1,3.8,7.2,10.8,12.6,12.2,12.4,11.8,10.6,9.4,5.6,2.5,0.0
Puszcza Niepołomice,1145.42,48.2,0.0,0.0,0.0,0.1,0.8,6.4,13.3,16.3,16.4,13.6,10.9,7.7,6.1,4.6,2.6,1.1,0.2,0.0
Stal Rzeszów,1046.67,47.13,0.0,0.0,0.0,0.1,2.3,9.5,21.4,19.9,14.9,10.4,7.7,5.3,3.9,2.4,1.4,0.5,0.2,0.0
Polonia Bytom,1066.42,46.16,0.0,0.0,0.0,0.3,4.8,17.9,23.0,17.0,11.9,8.3,6.3,4.1,2.9,2.0,0.9,0.5,0.1,0.0
Odra Opole,1052.31,42.89,0.0,0.0,0.1,2.0,14.7,41.3,18.9,10.1,6.1,3.2,1.5,1.0,0.7,0.3,0.1,0.0,0.0,0.0
Pogoń Siedlce,1038.2,38.55,0.0,0.1,2.6,21.8,55.0,14.6,3.8,1.4,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stal Mielec,1063.6,34.83,0.0,2.3,18.9,54.2,19.6,4.2,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Znicz Pruszków,1015.63,30.72,1.2,24.1,55.3,17.2,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Górnik Łęczna,1018.45,27.4,9.4,64.1,22.1,4.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tychy 71,973.31,21.96,89.4,9.4,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
