Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Jagiellonia,1529.18,59.61,8399,127,221,84.0,85.3,87.5,1.19,1.17,1.14
Raków Częstochowa,1549.5,57.2,7274,35,447,72.7,73.1,77.6,1.37,1.37,1.29
Gornik Zabrze,1513.38,56.83,7071,211,377,70.7,72.8,76.6,1.41,1.37,1.31
Lech Poznan,1520.15,53.63,4703,226,494,47.0,49.3,54.2,2.13,2.03,1.84
Cracovia Krakow,1481.76,51.47,3183,324,302,31.8,35.1,38.1,3.14,2.85,2.63
Wisla Plock,1443.38,51.45,3044,400,230,30.4,34.4,36.7,3.29,2.9,2.72
Korona Kielce,1452.41,46.8,886,206,92,8.9,10.9,11.8,11.0,9.16,8.45
Legia Warszawa,1497.57,46.77,892,304,17,8.9,12.0,12.1,11.0,8.36,8.24
Radomiak Radom,1420.8,46.62,821,228,40,8.2,10.5,10.9,12.0,9.53,9.18
Pogon Szczecin,1465.96,44.51,389,87,93,3.9,4.8,5.7,26.0,21.0,18.0
Zaglebie Lubin,1414.02,44.24,349,141,6,3.5,4.9,5.0,29.0,20.0,20.0
GKS Katowice,1427.57,42.87,230,22,90,2.3,2.5,3.4,43.0,40.0,29.0
Lechia Gdansk,1384.67,41.99,153,22,57,1.5,1.8,2.3,65.0,57.0,43.0
Motor Lublin,1398.22,41.42,123,12,53,1.2,1.4,1.9,81.0,74.0,53.0
Widzew Łódź,1391.44,40.09,60,24,6,0.6,0.8,0.9,167.0,119.0,111.0
Piast Gliwice,1402.73,37.07,26,16,0,0.3,0.4,0.4,385.0,238.0,238.0
Arka Gdynia,1375.64,37.58,8,0,13,0.1,0.1,0.2,1250.0,1250.0,476.0
Nieciecza,1341.77,33.72,4,0,3,0.0,0.0,0.1,2500.0,2500.0,1429.0
