Club,Elo,xPts,Top 1 %,Top 1 Odds,Top 3 %,Top 3 Odds
Nieciecza,1303.43,32.48,86.6,1.15,98.1,1.02
Widzew Łódź,1368.33,39.24,6.9,14.49,62.7,1.59
Arka Gdynia,1351.4,40.56,4.0,25.0,49.4,2.02
Legia Warszawa,1438.87,43.31,0.9,111.11,15.5,6.45
Pogon Szczecin,1396.55,42.54,0.8,125.0,23.3,4.29
Radomiak Radom,1382.44,42.61,0.8,125.0,22.7,4.41
Jagiellonia,1467.09,52.34,0.0,N/A,0.0,N/A
Piast Gliwice,1405.01,44.77,0.0,N/A,9.7,10.31
Korona Kielce,1393.73,45.11,0.0,N/A,6.1,16.39
Lech Poznan,1517.88,57.44,0.0,N/A,0.0,N/A
Motor Lublin,1396.55,46.62,0.0,N/A,2.3,43.48
Lechia Gdansk,1416.3,46.69,0.0,N/A,3.0,33.33
Wisla Plock,1379.62,48.01,0.0,N/A,1.0,100.0
GKS Katowice,1421.94,48.57,0.0,N/A,0.7,142.86
Raków Częstochowa,1489.66,50.48,0.0,N/A,0.2,500.0
Zaglebie Lubin,1410.66,50.79,0.0,N/A,0.0,N/A
Gornik Zabrze,1447.34,52.22,0.0,N/A,0.0,N/A
Cracovia Krakow,1407.83,45.94,0.0,N/A,5.3,18.87
