Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Nieciecza,1341.77,35.73,6081,560,107,60.8,66.4,67.5,1.64,1.51,1.48
Piast Gliwice,1402.73,38.77,3713,90,573,37.1,38.0,43.8,2.69,2.63,2.29
Lechia Gdansk,1384.67,38.88,3617,39,646,36.2,36.6,43.0,2.76,2.74,2.32
Widzew Łódź,1391.44,38.97,3433,201,489,34.3,36.3,41.2,2.91,2.75,2.43
Arka Gdynia,1375.64,39.09,3358,706,0,33.6,40.6,40.6,2.98,2.46,2.46
Motor Lublin,1398.22,40.2,2714,377,191,27.1,30.9,32.8,3.68,3.24,3.05
GKS Katowice,1427.57,41.97,1709,294,190,17.1,20.0,21.9,5.85,4.99,4.56
Pogon Szczecin,1465.96,43.85,932,160,163,9.3,10.9,12.6,11,9.16,7.97
Legia Warszawa,1497.57,45.35,617,54,153,6.2,6.7,8.2,16,15,12.0
Zaglebie Lubin,1414.02,45.78,449,54,141,4.5,5.0,6.4,22,20,16.0
Korona Kielce,1452.41,46.16,332,73,98,3.3,4.0,5.0,30,25,20.0
Radomiak Radom,1420.8,46.62,279,49,101,2.8,3.3,4.3,36,30,23.0
Cracovia Krakow,1481.76,50.93,32,23,15,0.3,0.5,0.7,312,182,143.0
Wisla Plock,1443.38,51.35,23,8,8,0.2,0.3,0.4,435,323,256.0
Lech Poznan,1520.15,53.32,11,5,5,0.1,0.2,0.2,909,625,476.0
Gornik Zabrze,1513.38,55.3,3,3,0,0.0,0.1,0.1,3333,1667,1667.0
Jagiellonia,1529.18,57.83,0,0,1,0.0,0.0,0.0,N/A,N/A,10000.0
Raków Częstochowa,1549.5,58.29,1,0,0,0.0,0.0,0.0,10000,10000,10000.0
