Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Raków Częstochowa,1549.5,58.28,7192,16,512,71.9,72.1,77.2,1.39,1.39,1.3
Jagiellonia,1529.18,57.81,6710,295,236,67.1,70.0,72.4,1.49,1.43,1.38
Gornik Zabrze,1513.38,55.3,4942,109,527,49.4,50.5,55.8,2.02,1.98,1.79
Lech Poznan,1520.15,53.4,3518,285,321,35.2,38.0,41.2,2.84,2.63,2.42
Wisla Plock,1443.38,51.3,2047,398,126,20.5,24.4,25.7,4.89,4.09,3.89
Cracovia Krakow,1481.76,50.84,1763,271,196,17.6,20.3,22.3,5.67,4.92,4.48
Radomiak Radom,1420.8,46.61,433,154,22,4.3,5.9,6.1,23,17,16.0
Korona Kielce,1452.41,46.17,386,124,25,3.9,5.1,5.4,26,20,19.0
Zaglebie Lubin,1414.02,45.8,370,136,13,3.7,5.1,5.2,27,20,19.0
Legia Warszawa,1497.57,45.39,323,147,7,3.2,4.7,4.8,31,21,21.0
Pogon Szczecin,1465.96,43.83,151,31,47,1.5,1.8,2.3,66,55,44.0
GKS Katowice,1427.57,41.95,73,14,37,0.7,0.9,1.2,137,115,81.0
Motor Lublin,1398.22,40.23,36,3,24,0.4,0.4,0.6,278,256,159.0
Piast Gliwice,1402.73,38.83,21,5,2,0.2,0.3,0.3,476,385,357.0
Widzew Łódź,1391.44,38.87,12,5,1,0.1,0.2,0.2,833,588,556.0
Lechia Gdansk,1384.67,38.82,10,8,0,0.1,0.2,0.2,1000,556,556.0
Arka Gdynia,1375.64,39.09,12,0,6,0.1,0.1,0.2,833,833,556.0
Nieciecza,1341.77,35.78,0,0,1,0.0,0.0,0.0,N/A,N/A,10000.0
