Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Wisla Krakow,1359.83,73.41,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Slask Wroclaw,1251.45,54.63,7361,220,358,73.6,75.8,79.4,1.36,1.32,1.26
Pogoń Grod. Mazowiecki,1167.9,53.03,6265,437,185,62.6,67.0,68.9,1.6,1.49,1.45
Polonia Bytom,1174.67,52.32,5700,523,159,57.0,62.2,63.8,1.75,1.61,1.57
Polonia Warszawa,1201.77,51.95,5475,142,571,54.8,56.2,61.9,1.83,1.78,1.62
Chrobry Głogów,1165.64,51.59,5070,498,218,50.7,55.7,57.9,1.97,1.8,1.73
Miedz Legnica,1201.77,50.57,4337,66,671,43.4,44.0,50.7,2.31,2.27,1.97
Ruch Chorzów,1183.71,48.79,3060,298,342,30.6,33.6,37.0,3.27,2.98,2.7
Stal Rzeszów,1125.0,48.67,2914,21,633,29.1,29.4,35.7,3.43,3.41,2.8
Wieczysta Kraków,1165.64,48.29,2725,652,10,27.3,33.8,33.9,3.67,2.96,2.95
ŁKS Łódź,1199.51,47.99,2524,276,364,25.2,28.0,31.6,3.96,3.57,3.16
Pogoń Siedlce,1161.13,43.25,633,238,19,6.3,8.7,8.9,16,11,11.0
Odra Opole,1127.26,40.67,204,60,44,2.0,2.6,3.1,49,38,32.0
Puszcza Niepołomice,1192.74,40.61,200,97,15,2.0,3.0,3.1,50,34,32.0
Znicz Pruszków,1115.97,32.58,1,0,1,0.0,0.0,0.0,10000,10000,5000.0
Stal Mielec,1143.06,33.38,2,0,4,0.0,0.0,0.1,5000,5000,1667.0
Tychy 71,1143.06,32.0,1,0,1,0.0,0.0,0.0,10000,10000,5000.0
Górnik Łęczna,1131.77,30.36,0,0,1,0.0,0.0,0.0,N/A,N/A,10000.0
