Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Jastrzębie,1014.36,21.76,9992,2,1,99.9,99.9,100.0,1.0,1.0,1.0
ŁKS Łódź II,1027.9,29.14,9559,73,65,95.6,96.3,97.0,1.05,1.04,1.03
Kalisz,1077.58,36.46,6154,396,266,61.5,65.5,68.2,1.62,1.53,1.47
Hutnik Kraków,1073.06,39.85,3101,120,617,31.0,32.2,38.4,3.22,3.1,2.61
Zaglebie Sosnowiec,1070.81,40.22,2852,668,17,28.5,35.2,35.4,3.51,2.84,2.83
Rekord Bielsko-Biała,1061.77,40.74,2508,555,132,25.1,30.6,32.0,3.99,3.26,3.13
Sokół Kleczew,1095.64,41.71,1861,30,505,18.6,18.9,24.0,5.37,5.29,4.17
Śląsk Wrocław II,1088.87,43.66,855,95,284,8.6,9.5,12.3,12,11,8.1
Resovia Rzeszów,1118.22,46.33,280,68,102,2.8,3.5,4.5,36,29,22
Chojniczanka Chojnice,1158.87,47.1,250,29,111,2.5,2.8,3.9,40,36,26
Stal Stalowa Wola,1140.8,47.42,212,3,141,2.1,2.2,3.6,47,47,28
Podbeskidzie,1145.32,48.26,127,40,42,1.3,1.7,2.1,79,60,48
Sandecja Nowy Sącz,1097.9,48.37,105,49,30,1.0,1.5,1.8,95,65,54
Świt Skolwin,1143.06,52.44,8,4,1,0.1,0.1,0.1,1250,833,769
Olimpia Grudziądz,1152.09,59.7,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Unia Skierniewice,1183.71,67.36,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Podhale Nowy Targ,1122.74,54.0,2,2,1,0.0,0.0,0.0,5000,2500,2000
Warta Poznań,1192.74,62.16,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
