Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Wisla Krakow,1359.83,73.32,9976,11,0,99.8,99.9,99.9,1.0,1.0,1.0
Slask Wroclaw,1251.45,54.7,2357,171,363,23.6,25.3,28.9,4.24,3.96,3.46
Pogoń Grod. Mazowiecki,1167.9,52.99,1412,277,116,14.1,16.9,18.0,7.08,5.92,5.54
Polonia Bytom,1174.67,52.49,1182,316,70,11.8,15.0,15.7,8.46,6.68,6.38
Polonia Warszawa,1201.77,51.92,1065,40,302,10.6,11.0,14.1,9.39,9.05,7.11
Chrobry Głogów,1165.64,51.62,867,202,91,8.7,10.7,11.6,12,9.35,8.62
Miedz Legnica,1201.77,50.59,650,14,223,6.5,6.6,8.9,15,15,11
Ruch Chorzów,1183.71,48.74,349,62,72,3.5,4.1,4.8,29,24,21
Stal Rzeszów,1125.0,48.66,309,2,135,3.1,3.1,4.5,32,32,22
Wieczysta Kraków,1165.64,48.38,264,127,1,2.6,3.9,3.9,38,26,26
ŁKS Łódź,1199.51,47.97,250,28,85,2.5,2.8,3.6,40,36,28
Pogoń Siedlce,1161.13,43.23,29,19,1,0.3,0.5,0.5,345,208,204
Odra Opole,1127.26,40.66,7,4,5,0.1,0.1,0.2,1429,909,625
Puszcza Niepołomice,1192.74,40.51,7,3,0,0.1,0.1,0.1,1429,1000,1000
Znicz Pruszków,1115.97,32.62,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Stal Mielec,1143.06,33.38,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Tychy 71,1143.06,31.97,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Górnik Łęczna,1131.77,30.34,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
