Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Nieciecza,1341.77,35.72,3193,477,169,31.9,36.7,38.4,3.13,2.72,2.6
Piast Gliwice,1402.73,38.86,1318,12,391,13.2,13.3,17.2,7.59,7.52,5.81
Widzew Łódź,1391.44,38.9,1181,67,331,11.8,12.5,15.8,8.47,8.01,6.33
Arka Gdynia,1375.64,39.07,1117,394,0,11.2,15.1,15.1,8.95,6.62,6.62
Motor Lublin,1398.22,40.31,807,125,160,8.1,9.3,10.9,12,11,9.16
GKS Katowice,1427.57,41.96,428,88,95,4.3,5.2,6.1,23,19,16
Pogon Szczecin,1465.96,43.71,220,28,64,2.2,2.5,3.1,45,40,32
Lechia Gdansk,1384.67,43.79,152,43,60,1.5,2.0,2.6,66,51,39
Legia Warszawa,1497.57,45.27,123,8,64,1.2,1.3,2.0,81,76,51
Zaglebie Lubin,1414.02,45.79,82,10,35,0.8,0.9,1.3,122,109,79
Korona Kielce,1452.41,46.13,67,10,43,0.7,0.8,1.2,149,130,83
Radomiak Radom,1420.8,46.67,38,4,17,0.4,0.4,0.6,263,238,169
Gornik Zabrze,1513.38,55.2,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Wisla Plock,1443.38,51.37,3,0,1,0.0,0.0,0.0,3333,3333,2500
Lech Poznan,1520.15,53.44,0,2,0,0.0,0.0,0.0,N/A,5000,5000
Raków Częstochowa,1549.5,58.33,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Jagiellonia,1529.18,57.88,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Cracovia Krakow,1481.76,50.98,3,0,4,0.0,0.0,0.1,3333,3333,1429
