Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Nieciecza,1341.77,33.75,7434,352,152,74.3,77.9,79.4,1.35,1.28,1.26
Piast Gliwice,1402.73,37.0,5120,37,572,51.2,51.6,57.3,1.95,1.94,1.75
Arka Gdynia,1375.64,37.53,4692,696,0,46.9,53.9,53.9,2.13,1.86,1.86
Widzew Łódź,1391.44,40.03,2757,123,454,27.6,28.8,33.3,3.63,3.47,3.0
Motor Lublin,1398.22,41.48,1938,347,171,19.4,22.8,24.6,5.16,4.38,4.07
Lechia Gdansk,1384.67,41.96,1631,301,208,16.3,19.3,21.4,6.13,5.18,4.67
GKS Katowice,1427.57,42.81,1368,243,143,13.7,16.1,17.5,7.31,6.21,5.7
Zaglebie Lubin,1414.02,44.36,820,27,256,8.2,8.5,11.0,12,12,9.07
Pogon Szczecin,1465.96,44.54,762,100,178,7.6,8.6,10.4,13,12,9.62
Legia Warszawa,1497.57,46.78,403,35,117,4.0,4.4,5.6,25,23,18
Korona Kielce,1452.41,46.74,329,45,101,3.3,3.7,4.8,30,27,21
Radomiak Radom,1420.8,46.59,291,45,117,2.9,3.4,4.5,34,30,22
Cracovia Krakow,1481.76,51.39,38,6,15,0.4,0.4,0.6,263,227,169
Wisla Plock,1443.38,51.47,29,5,10,0.3,0.3,0.4,345,294,227
Lech Poznan,1520.15,53.68,10,7,2,0.1,0.2,0.2,1000,588,526
Gornik Zabrze,1513.38,56.87,4,3,3,0.0,0.1,0.1,2500,1429,1000
Jagiellonia,1529.18,59.62,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Raków Częstochowa,1549.5,57.19,1,1,1,0.0,0.0,0.0,10000,5000,3333
