Club,Elo,xPts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Lech Poznan,1517.88,57.32,66.7,20.0,6.9,3.1,1.5,0.8,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jagiellonia,1467.09,52.6,10.9,24.7,18.4,13.3,9.8,8.0,5.7,3.4,2.8,1.6,1.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
Gornik Zabrze,1447.34,52.26,9.2,18.8,20.5,16.8,11.8,7.9,5.1,4.4,2.4,1.4,0.5,0.8,0.2,0.0,0.1,0.1,0.0,0.0
Zaglebie Lubin,1410.66,50.73,4.5,13.3,13.9,14.8,12.2,10.9,8.6,6.6,6.5,3.0,2.5,1.5,0.8,0.4,0.5,0.0,0.0,0.0
Raków Częstochowa,1489.66,50.5,3.7,10.7,13.7,14.2,13.6,9.1,10.2,6.8,6.7,4.2,3.2,1.5,1.3,0.9,0.1,0.1,0.0,0.0
GKS Katowice,1421.94,48.54,2.1,4.1,6.5,8.9,10.6,11.3,13.2,9.4,9.8,6.7,5.7,4.3,3.5,2.3,1.1,0.4,0.0,0.1
Wisla Plock,1379.62,48.17,1.8,3.0,7.5,9.0,9.0,12.1,10.1,10.7,9.6,6.8,7.2,5.2,3.5,2.1,1.9,0.5,0.0,0.0
Lechia Gdansk,1416.3,46.55,0.5,1.3,3.9,4.3,6.5,8.4,8.8,11.2,8.4,10.4,8.0,9.1,7.6,5.0,3.3,2.3,1.0,0.0
Motor Lublin,1396.55,46.45,0.5,2.2,3.0,5.1,6.6,6.8,8.0,7.9,10.0,9.3,9.6,9.3,7.8,7.7,3.7,1.9,0.6,0.0
Cracovia Krakow,1407.83,45.89,0.0,0.7,2.3,3.7,5.6,7.4,7.6,10.7,8.4,9.9,9.1,7.8,8.6,6.7,5.9,4.1,1.5,0.0
Piast Gliwice,1405.01,44.94,0.0,0.5,1.1,2.5,4.0,4.9,7.1,7.5,8.5,9.5,9.2,10.4,9.0,9.4,8.2,5.5,2.6,0.1
Korona Kielce,1393.73,44.88,0.0,0.1,1.5,2.2,3.4,5.0,5.4,7.8,7.3,9.8,11.7,11.8,11.6,9.9,5.7,4.7,2.1,0.0
Legia Warszawa,1438.87,43.43,0.0,0.4,0.2,0.4,2.6,2.5,4.3,5.3,7.0,7.9,10.1,9.8,11.1,10.3,10.8,9.4,6.9,1.0
Pogon Szczecin,1396.55,42.57,0.1,0.1,0.2,0.8,1.1,2.1,1.6,2.9,4.2,7.3,6.8,10.4,10.3,13.1,16.4,13.4,8.5,0.7
Radomiak Radom,1382.44,42.56,0.0,0.1,0.2,0.9,1.3,1.9,2.2,3.4,4.7,6.6,8.8,7.4,11.3,13.2,14.5,11.9,11.0,0.6
Arka Gdynia,1351.4,40.63,0.0,0.0,0.2,0.0,0.3,0.6,0.7,1.3,2.3,4.0,3.8,5.5,7.2,11.3,14.1,20.2,24.5,4.0
Widzew Łódź,1368.33,39.21,0.0,0.0,0.0,0.0,0.1,0.3,0.7,0.6,1.2,1.6,2.8,5.0,6.1,7.4,12.0,22.2,33.1,6.9
Nieciecza,1303.43,32.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.7,3.3,8.2,86.6
