Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Unia Skierniewice,1183.71,67.4,9998,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Warta Poznań,1192.74,62.1,9869,1,46,98.7,98.7,99.2,1.01,1.01,1.01
Olimpia Grudziądz,1152.09,59.76,9723,25,71,97.2,97.5,98.2,1.03,1.03,1.02
Podhale Nowy Targ,1122.74,53.86,7575,83,450,75.8,76.6,81.1,1.32,1.31,1.23
Świt Skolwin,1143.06,52.49,6457,95,543,64.6,65.5,71.0,1.55,1.53,1.41
Sandecja Nowy Sącz,1097.9,48.45,3097,194,487,31.0,32.9,37.8,3.23,3.04,2.65
Podbeskidzie,1145.32,48.26,2914,354,303,29.1,32.7,35.7,3.43,3.06,2.8
Stal Stalowa Wola,1140.8,47.51,2499,561,7,25.0,30.6,30.7,4.0,3.27,3.26
Chojniczanka Chojnice,1158.87,47.07,2154,437,140,21.5,25.9,27.3,4.64,3.86,3.66
Resovia Rzeszów,1118.22,46.22,1608,309,230,16.1,19.2,21.5,6.22,5.22,4.66
Śląsk Wrocław II,1088.87,43.68,703,238,74,7.0,9.4,10.2,14,11,9.85
Sokół Kleczew,1095.64,41.76,363,128,27,3.6,4.9,5.2,28,20,19
Rekord Bielsko-Biała,1061.77,40.72,221,9,95,2.2,2.3,3.2,45,43,31
Zaglebie Sosnowiec,1070.81,40.19,172,0,102,1.7,1.7,2.7,58,58,36
Hutnik Kraków,1073.06,39.87,122,53,17,1.2,1.8,1.9,82,57,52
Kalisz,1077.58,36.53,31,7,7,0.3,0.4,0.4,323,263,222
ŁKS Łódź II,1027.9,29.12,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Jastrzębie,1014.36,21.7,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
