Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Nieciecza,1341.77,35.69,6493,547,111,64.9,70.4,71.5,1.54,1.42,1.4
Piast Gliwice,1402.73,38.8,3976,27,630,39.8,40.0,46.3,2.52,2.5,2.16
Widzew Łódź,1391.44,38.85,3954,130,621,39.5,40.8,47.0,2.53,2.45,2.13
Arka Gdynia,1375.64,39.06,3764,707,0,37.6,44.7,44.7,2.66,2.24,2.24
Motor Lublin,1398.22,40.29,2917,387,216,29.2,33.0,35.2,3.43,3.03,2.84
GKS Katowice,1427.57,42.02,1868,307,229,18.7,21.8,24.0,5.35,4.6,4.16
Lechia Gdansk,1384.67,43.69,1085,211,193,10.8,13.0,14.9,9.22,7.72,6.72
Pogon Szczecin,1465.96,43.82,1062,171,192,10.6,12.3,14.2,9.42,8.11,7.02
Legia Warszawa,1497.57,45.3,724,45,211,7.2,7.7,9.8,14,13,10
Zaglebie Lubin,1414.02,45.84,546,50,178,5.5,6.0,7.7,18,17,13
Korona Kielce,1452.41,46.12,453,57,136,4.5,5.1,6.5,22,20,15
Radomiak Radom,1420.8,46.6,340,39,119,3.4,3.8,5.0,29,26,20
Cracovia Krakow,1481.76,50.97,48,10,10,0.5,0.6,0.7,208,172,147
Wisla Plock,1443.38,51.35,28,9,19,0.3,0.4,0.6,357,270,179
Lech Poznan,1520.15,53.42,28,10,6,0.3,0.4,0.4,357,263,227
Gornik Zabrze,1513.38,55.2,5,2,2,0.0,0.1,0.1,2000,1429,1111
Jagiellonia,1529.18,57.96,0,0,1,0.0,0.0,0.0,N/A,N/A,10000
Raków Częstochowa,1549.5,58.29,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
