Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Wisla Krakow,1386.93,68.53,9862,48,0,98.6,99.1,99.1,1.01,1.01,1.01
Polonia Warszawa,1303.38,56.56,3096,54,683,31.0,31.5,38.3,3.23,3.17,2.61
Pogoń Grod. Mazowiecki,1246.93,54.02,1291,293,150,12.9,15.8,17.3,7.75,6.31,5.77
Chrobry Głogów,1269.51,54.02,1258,324,141,12.6,15.8,17.2,7.95,6.32,5.8
Slask Wroclaw,1298.87,53.63,1066,168,248,10.7,12.3,14.8,9.38,8.1,6.75
Wieczysta Kraków,1274.03,53.53,1056,391,2,10.6,14.5,14.5,9.47,6.91,6.9
Miedz Legnica,1283.06,51.27,366,14,171,3.7,3.8,5.5,27,26,18
Polonia Bytom,1242.42,49.27,172,85,21,1.7,2.6,2.8,58,39,36
ŁKS Łódź,1265.0,48.91,145,13,86,1.5,1.6,2.4,69,63,41
Stal Rzeszów,1231.13,49.27,131,3,89,1.3,1.3,2.2,76,75,45
Ruch Chorzów,1251.45,48.84,114,45,42,1.1,1.6,2.0,88,63,50
Puszcza Niepołomice,1262.74,43.23,3,2,3,0.0,0.0,0.1,3333,2000,1250
Pogoń Siedlce,1222.09,40.99,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Odra Opole,1206.29,38.96,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Znicz Pruszków,1197.25,33.64,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Stal Mielec,1185.96,29.89,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Górnik Łęczna,1188.22,28.12,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Tychy 71,1188.22,26.81,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
