Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Wisla Krakow,1386.93,68.44,9998,1,0,100.0,100.0,100.0,1.0,1.0,1.0
Polonia Warszawa,1303.38,56.59,8383,101,328,83.8,84.8,88.1,1.19,1.18,1.13
Chrobry Głogów,1269.51,54.01,6562,514,212,65.6,70.8,72.9,1.52,1.41,1.37
Pogoń Grod. Mazowiecki,1246.93,53.97,6421,472,237,64.2,68.9,71.3,1.56,1.45,1.4
Slask Wroclaw,1298.87,53.65,6199,317,416,62.0,65.2,69.3,1.61,1.53,1.44
Wieczysta Kraków,1274.03,53.51,6061,745,7,60.6,68.1,68.1,1.65,1.47,1.47
Miedz Legnica,1283.06,51.28,4032,91,714,40.3,41.2,48.4,2.48,2.43,2.07
Stal Rzeszów,1231.13,49.34,2331,22,605,23.3,23.5,29.6,4.29,4.25,3.38
Polonia Bytom,1242.42,49.22,2278,559,91,22.8,28.4,29.3,4.39,3.52,3.42
ŁKS Łódź,1265.0,48.83,2066,174,467,20.7,22.4,27.1,4.84,4.46,3.69
Ruch Chorzów,1251.45,48.78,1978,266,352,19.8,22.4,26.0,5.06,4.46,3.85
Puszcza Niepołomice,1262.74,43.27,204,116,32,2.0,3.2,3.5,49,31,28
Pogoń Siedlce,1222.09,41.07,56,35,4,0.6,0.9,1.0,179,110,105
Odra Opole,1206.29,39.03,14,4,9,0.1,0.2,0.3,714,556,370
Znicz Pruszków,1197.25,33.64,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Stal Mielec,1185.96,29.87,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Górnik Łęczna,1188.22,28.09,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Tychy 71,1188.22,26.89,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
