Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Raków Częstochowa,1549.5,58.29,3190,16,574,31.9,32.1,37.8,3.13,3.12,2.65
Jagiellonia,1529.18,57.76,2787,437,116,27.9,32.2,33.4,3.59,3.1,2.99
Gornik Zabrze,1513.38,55.32,1394,133,252,13.9,15.3,17.8,7.17,6.55,5.62
Lech Poznan,1520.15,53.4,730,145,131,7.3,8.8,10.1,14,11,9.94
Wisla Plock,1443.38,51.41,377,126,23,3.8,5.0,5.3,27,20,19
Cracovia Krakow,1481.76,50.95,303,92,41,3.0,4.0,4.4,33,25,23
Radomiak Radom,1420.8,46.58,47,26,0,0.5,0.7,0.7,213,137,137
Zaglebie Lubin,1414.02,45.72,40,30,1,0.4,0.7,0.7,250,143,141
Korona Kielce,1452.41,46.09,27,21,2,0.3,0.5,0.5,370,208,200
Legia Warszawa,1497.57,45.35,34,19,1,0.3,0.5,0.5,294,189,185
Pogon Szczecin,1465.96,43.81,13,3,3,0.1,0.2,0.2,769,625,526
Arka Gdynia,1375.64,39.04,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Widzew Łódź,1391.44,38.86,1,0,0,0.0,0.0,0.0,10000,10000,10000
Lechia Gdansk,1384.67,38.8,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
GKS Katowice,1427.57,42.06,5,1,2,0.0,0.1,0.1,2000,1667,1250
Motor Lublin,1398.22,40.24,3,0,0,0.0,0.0,0.0,3333,3333,3333
Nieciecza,1341.77,35.82,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Piast Gliwice,1402.73,38.8,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
