Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Wisla Krakow,1468.22,69.26,9542,145,0,95.4,96.9,96.9,1.05,1.03,1.03
Polonia Warszawa,1382.41,54.35,81,0,43,0.8,0.8,1.2,123,123,81
Chrobry Głogów,1350.8,54.56,67,1,46,0.7,0.7,1.1,149,147,88
Wieczysta Kraków,1359.83,54.65,73,3,26,0.7,0.8,1.0,137,132,98
Pogoń Grod. Mazowiecki,1341.77,52.58,23,4,11,0.2,0.3,0.4,435,370,263
Slask Wroclaw,1382.41,51.9,16,0,7,0.2,0.2,0.2,625,625,435
Miedz Legnica,1382.41,51.78,21,0,14,0.2,0.2,0.4,476,476,286
Polonia Bytom,1339.51,50.45,9,1,7,0.1,0.1,0.2,1111,1000,588
Stal Rzeszów,1334.99,51.07,13,0,7,0.1,0.1,0.2,769,769,500
ŁKS Łódź,1348.54,48.96,1,0,0,0.0,0.0,0.0,10000,10000,10000
Ruch Chorzów,1353.06,47.25,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Pogoń Siedlce,1316.93,41.68,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Odra Opole,1310.16,40.94,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Puszcza Niepołomice,1346.28,41.2,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Znicz Pruszków,1298.87,33.53,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Górnik Łęczna,1285.32,28.39,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Tychy 71,1294.35,28.64,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Stal Mielec,1294.35,28.56,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
