Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Wisla Krakow,1382.41,70.65,9999,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Polonia Bytom,1253.71,54.66,6989,458,153,69.9,74.5,76.0,1.43,1.34,1.32
Pogoń Grod. Mazowiecki,1231.13,52.75,5504,553,165,55.0,60.6,62.2,1.82,1.65,1.61
Slask Wroclaw,1289.83,52.68,5498,302,442,55.0,58.0,62.4,1.82,1.72,1.6
Polonia Warszawa,1283.06,52.55,5402,205,506,54.0,56.1,61.1,1.85,1.78,1.64
Miedz Legnica,1276.29,52.43,5254,40,670,52.5,52.9,59.6,1.9,1.89,1.68
Chrobry Głogów,1235.64,50.95,4104,521,216,41.0,46.2,48.4,2.44,2.16,2.07
Ruch Chorzów,1258.22,50.9,4093,230,509,40.9,43.2,48.3,2.44,2.31,2.07
Wieczysta Kraków,1242.42,50.78,3942,761,5,39.4,47.0,47.1,2.54,2.13,2.12
Stal Rzeszów,1215.32,50.22,3429,44,641,34.3,34.7,41.1,2.92,2.88,2.43
ŁKS Łódź,1251.45,47.47,1867,242,292,18.7,21.1,24.0,5.36,4.74,4.16
Pogoń Siedlce,1208.54,41.21,175,87,13,1.8,2.6,2.8,57,38,36
Odra Opole,1192.74,40.05,109,33,30,1.1,1.4,1.7,92,70,58
Puszcza Niepołomice,1246.93,39.95,94,58,14,0.9,1.5,1.7,106,66,60
Znicz Pruszków,1190.48,35.08,5,0,5,0.0,0.0,0.1,2000,2000,1000
Tychy 71,1185.96,30.86,1,0,2,0.0,0.0,0.0,10000,10000,3333
Stal Mielec,1185.96,30.87,1,0,0,0.0,0.0,0.0,10000,10000,10000
Górnik Łęczna,1176.93,28.31,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
