Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Unia Skierniewice,1183.71,65.75,5367,480,147,53.7,58.5,59.9,1.86,1.71,1.67
Warta Poznań,1192.74,63.16,2909,7,533,29.1,29.2,34.5,3.44,3.43,2.9
Olimpia Grudziądz,1152.09,58.45,656,206,20,6.6,8.6,8.8,15,12,11
Podhale Nowy Targ,1122.74,54.1,162,19,37,1.6,1.8,2.2,62,55,46
Świt Skolwin,1143.06,53.8,139,20,43,1.4,1.6,2.0,72,63,50
Podbeskidzie,1145.32,48.78,7,3,0,0.1,0.1,0.1,1429,1000,1000
Stal Stalowa Wola,1140.8,48.03,7,4,0,0.1,0.1,0.1,1429,909,909
Resovia Rzeszów,1118.22,47.32,2,2,1,0.0,0.0,0.0,5000,2500,2000
Sandecja Nowy Sącz,1097.9,47.22,2,0,3,0.0,0.0,0.0,5000,5000,2000
Sokół Kleczew,1095.64,43.31,1,1,0,0.0,0.0,0.0,10000,5000,5000
Chojniczanka Chojnice,1158.87,47.24,2,4,1,0.0,0.1,0.1,5000,1667,1429
Śląsk Wrocław II,1088.87,41.94,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Zaglebie Sosnowiec,1070.81,41.61,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Hutnik Kraków,1073.06,38.38,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Rekord Bielsko-Biała,1061.77,38.87,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Kalisz,1077.58,37.68,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
ŁKS Łódź II,1027.9,28.88,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Jastrzębie,1014.36,22.73,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
