Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Unia Skierniewice,1172.42,65.65,9981,2,6,99.8,99.8,99.9,1.0,1.0,1.0
Warta Poznań,1181.45,63.1,9923,2,27,99.2,99.2,99.5,1.01,1.01,1.0
Olimpia Grudziądz,1131.77,56.17,8651,184,151,86.5,88.4,89.9,1.16,1.13,1.11
Podhale Nowy Targ,1120.48,55.87,8521,41,354,85.2,85.6,89.2,1.17,1.17,1.12
Świt Skolwin,1131.77,53.69,7384,140,418,73.8,75.2,79.4,1.35,1.33,1.26
Stal Stalowa Wola,1129.51,48.07,2996,584,26,30.0,35.8,36.1,3.34,2.79,2.77
Chojniczanka Chojnice,1145.32,47.25,2493,369,161,24.9,28.6,30.2,4.01,3.49,3.31
Podbeskidzie,1115.97,46.15,1777,145,370,17.8,19.2,22.9,5.63,5.2,4.36
Resovia Rzeszów,1100.16,45.7,1605,245,203,16.0,18.5,20.5,6.23,5.41,4.87
Sandecja Nowy Sącz,1077.58,45.01,1324,63,316,13.2,13.9,17.0,7.55,7.21,5.87
Śląsk Wrocław II,1095.64,44.14,987,288,33,9.9,12.8,13.1,10,7.84,7.65
Zaglebie Sosnowiec,1068.55,43.54,838,26,273,8.4,8.6,11.4,12,12,8.8
Sokół Kleczew,1084.35,43.39,773,198,65,7.7,9.7,10.4,13,10,9.65
Hutnik Kraków,1068.55,39.82,170,62,36,1.7,2.3,2.7,59,43,37
Rekord Bielsko-Biała,1050.48,38.92,123,21,50,1.2,1.4,1.9,81,69,52
Kalisz,1066.29,37.73,55,28,15,0.5,0.8,1.0,182,120,102
ŁKS Łódź II,1016.61,28.95,0,1,0,0.0,0.0,0.0,N/A,10000,10000
Jastrzębie,1003.07,22.78,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
