Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Raków Częstochowa,1549.5,58.27,5486,32,618,54.9,55.2,61.4,1.82,1.81,1.63
Jagiellonia,1529.18,57.91,5202,387,202,52.0,55.9,57.9,1.92,1.79,1.73
Gornik Zabrze,1513.38,55.28,3115,131,423,31.2,32.5,36.7,3.21,3.08,2.73
Lech Poznan,1520.15,53.37,1973,258,226,19.7,22.3,24.6,5.07,4.48,4.07
Wisla Plock,1443.38,51.33,1030,265,58,10.3,13.0,13.5,9.71,7.72,7.39
Cracovia Krakow,1481.76,51.03,934,210,101,9.3,11.4,12.4,11,8.74,8.03
Radomiak Radom,1420.8,46.51,166,73,3,1.7,2.4,2.4,60,42,41
Korona Kielce,1452.41,46.15,142,66,13,1.4,2.1,2.2,70,48,45
Zaglebie Lubin,1414.02,45.78,131,56,0,1.3,1.9,1.9,76,53,53
Legia Warszawa,1497.57,45.24,103,56,0,1.0,1.6,1.6,97,63,63
Lechia Gdansk,1384.67,43.81,46,10,12,0.5,0.6,0.7,217,179,147
Pogon Szczecin,1465.96,43.82,41,23,10,0.4,0.6,0.7,244,156,135
GKS Katowice,1427.57,41.97,29,5,11,0.3,0.3,0.4,345,294,222
Motor Lublin,1398.22,40.22,13,1,2,0.1,0.1,0.2,769,714,625
Piast Gliwice,1402.73,38.81,6,4,0,0.1,0.1,0.1,1667,1000,1000
Arka Gdynia,1375.64,39.1,3,0,1,0.0,0.0,0.0,3333,3333,2500
Widzew Łódź,1391.44,38.92,2,1,0,0.0,0.0,0.0,5000,3333,3333
Nieciecza,1341.77,35.72,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
