Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Raków Częstochowa,1549.5,58.33,5528,27,610,55.3,55.6,61.6,1.81,1.8,1.62
Jagiellonia,1529.18,57.76,5073,402,224,50.7,54.8,57.0,1.97,1.83,1.75
Gornik Zabrze,1513.38,55.25,3116,151,436,31.2,32.7,37.0,3.21,3.06,2.7
Lech Poznan,1520.15,53.38,2009,240,213,20.1,22.5,24.6,4.98,4.45,4.06
Wisla Plock,1443.38,51.26,1009,260,73,10.1,12.7,13.4,9.91,7.88,7.45
Cracovia Krakow,1481.76,51.06,971,202,101,9.7,11.7,12.7,10,8.53,7.85
Radomiak Radom,1420.8,46.52,168,79,6,1.7,2.5,2.5,60,40,40
Zaglebie Lubin,1414.02,45.79,169,70,6,1.7,2.4,2.4,59,42,41
Korona Kielce,1452.41,46.23,154,58,16,1.5,2.1,2.3,65,47,44
Legia Warszawa,1497.57,45.36,119,67,1,1.2,1.9,1.9,84,54,53
Pogon Szczecin,1465.96,43.8,48,14,10,0.5,0.6,0.7,208,161,139
GKS Katowice,1427.57,42.04,26,6,11,0.3,0.3,0.4,385,312,233
Motor Lublin,1398.22,40.24,11,5,3,0.1,0.2,0.2,909,625,526
Arka Gdynia,1375.64,39.05,2,0,4,0.0,0.0,0.1,5000,5000,1667
Widzew Łódź,1391.44,38.86,1,4,0,0.0,0.0,0.0,10000,2000,2000
Lechia Gdansk,1384.67,38.91,2,6,0,0.0,0.1,0.1,5000,1250,1250
Nieciecza,1341.77,35.74,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Piast Gliwice,1402.73,38.73,1,2,0,0.0,0.0,0.0,10000,3333,3333
