Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Arsenal,2037,22.38,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Bayern München,1988,19.0,9598,278,53,96.0,98.8,99.3,1.04,1.01,1.01
Manchester City,1956,17.45,8533,365,393,85.3,89.0,92.9,1.17,1.12,1.08
Paris Saint Germain,1982,16.68,7074,1374,0,70.7,84.5,84.5,1.41,1.18,1.18
Atalanta,1795,16.14,6075,0,1484,60.8,60.8,75.6,1.65,1.65,1.32
Liverpool,1918,16.14,5617,378,2093,56.2,60.0,80.9,1.78,1.67,1.24
Atletico Madrid,1875,15.92,5224,714,1644,52.2,59.4,75.8,1.91,1.68,1.32
Real Madrid,1934,15.87,5054,1419,957,50.5,64.7,74.3,1.98,1.54,1.35
Barcelona,1917,14.34,2481,1012,768,24.8,34.9,42.6,4.03,2.86,2.35
Inter,1917,14.58,2466,1633,361,24.7,41.0,44.6,4.06,2.44,2.24
Chelsea,1912,13.99,1692,1252,187,16.9,29.4,31.3,5.91,3.4,3.19
Tottenham,1809,13.74,1458,867,287,14.6,23.2,26.1,6.86,4.3,3.83
Borussia Dortmund,1855,13.64,1426,976,112,14.3,24.0,25.1,7.01,4.16,3.98
Sporting CP,1814,12.51,576,375,204,5.8,9.5,11.6,17,11,8.66
Newcastle,1856,12.47,474,428,64,4.7,9.0,9.7,21,11,10
Bayer Leverkusen,1874,12.63,176,18,1097,1.8,1.9,12.9,57,52,7.75
Juventus,1793,12.02,77,336,353,0.8,4.1,7.7,130,24,13
Marseille,1787,11.43,55,332,241,0.5,3.9,6.3,182,26,16
Monaco,1710,10.86,37,20,178,0.4,0.6,2.4,270,175,43
Galatasaray,1718,10.63,24,79,108,0.2,1.0,2.1,417,97,47
PSV Eindhoven,1813,10.1,1,26,7,0.0,0.3,0.3,10000,370,294
Qarabag,1567,8.33,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Napoli,1824,10.15,0,0,4,0.0,0.0,0.0,N/A,N/A,2500
FC Copenhagen,1603,8.29,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Benfica,1782,8.23,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Pafos,1555,7.43,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Union St. Gilloise,1741,7.9,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Athletic Club,1719,7.17,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Olympiakos Piraeus,1683,7.55,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Club Brugge KV,1740,7.93,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Eintracht Frankfurt,1748,7.13,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Bodo/Glimt,1639,4.18,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Slavia Praha,1689,5.49,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Ajax,1567,4.75,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Villarreal,1777,4.1,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Kairat Almaty,1303,1.44,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
