Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Unia Skierniewice,1066.29,64.38,4644,526,137,46.4,51.7,53.1,2.15,1.93,1.88
Warta Poznań,1102.42,63.11,3520,15,597,35.2,35.4,41.3,2.84,2.83,2.42
Olimpia Grudziądz,1066.29,56.97,583,202,13,5.8,7.8,8.0,17,13,13
Podhale Nowy Targ,1021.13,55.11,314,41,90,3.1,3.6,4.4,32,28,22
Świt Skolwin,1030.16,52.71,92,21,29,0.9,1.1,1.4,109,88,70
Stal Stalowa Wola,1055.0,48.25,8,7,0,0.1,0.2,0.2,1250,667,667
Resovia Rzeszów,1041.45,46.69,7,0,1,0.1,0.1,0.1,1429,1429,1250
Chojniczanka Chojnice,1059.52,46.93,7,5,0,0.1,0.1,0.1,1429,833,833
Śląsk Wrocław II,1012.1,43.98,0,1,0,0.0,0.0,0.0,N/A,10000,10000
Podbeskidzie,1023.39,45.52,1,1,0,0.0,0.0,0.0,10000,5000,5000
Sokół Kleczew,1007.58,43.56,1,0,0,0.0,0.0,0.0,10000,10000,10000
Sandecja Nowy Sącz,998.55,44.78,2,0,2,0.0,0.0,0.0,5000,5000,2500
Zaglebie Sosnowiec,1003.07,44.27,0,2,2,0.0,0.0,0.0,N/A,5000,2500
Hutnik Kraków,987.26,39.67,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Rekord Bielsko-Biała,994.03,40.0,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Kalisz,987.26,37.68,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
ŁKS Łódź II,930.81,28.75,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Jastrzębie,935.33,23.27,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
