Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Unia Skierniewice,1066.29,64.37,9963,4,11,99.6,99.7,99.8,1.0,1.0,1.0
Warta Poznań,1102.42,63.08,9913,4,26,99.1,99.2,99.4,1.01,1.01,1.01
Olimpia Grudziądz,1066.29,56.91,8886,176,159,88.9,90.6,92.2,1.13,1.1,1.08
Podhale Nowy Targ,1021.13,55.03,8156,58,404,81.6,82.1,86.2,1.23,1.22,1.16
Świt Skolwin,1030.16,52.7,6597,151,500,66.0,67.5,72.5,1.52,1.48,1.38
Stal Stalowa Wola,1055.0,48.27,3167,643,19,31.7,38.1,38.3,3.16,2.62,2.61
Chojniczanka Chojnice,1059.52,46.97,2330,382,173,23.3,27.1,28.8,4.29,3.69,3.47
Resovia Rzeszów,1041.45,46.78,2198,311,253,22.0,25.1,27.6,4.55,3.99,3.62
Podbeskidzie,1023.39,45.59,1549,149,348,15.5,17.0,20.5,6.46,5.89,4.89
Sandecja Nowy Sącz,998.55,44.73,1227,92,272,12.3,13.2,15.9,8.15,7.58,6.29
Zaglebie Sosnowiec,1003.07,44.34,1108,18,344,11.1,11.3,14.7,9.03,8.88,6.8
Śląsk Wrocław II,1012.1,44.04,956,319,34,9.6,12.8,13.1,10,7.84,7.64
Sokół Kleczew,1007.58,43.59,848,246,60,8.5,10.9,11.5,12,9.14,8.67
Rekord Bielsko-Biała,994.03,40.1,195,27,71,2.0,2.2,2.9,51,45,34
Hutnik Kraków,987.26,39.62,182,60,46,1.8,2.4,2.9,55,41,35
Kalisz,987.26,37.58,63,22,13,0.6,0.8,1.0,159,118,102
ŁKS Łódź II,930.81,28.73,0,0,1,0.0,0.0,0.0,N/A,N/A,10000
Jastrzębie,935.33,23.26,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
