Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Aston Villa,1880,18.6,9119,111,433,91.2,92.3,96.6,1.1,1.08,1.03
Lyon,1743,18.34,8820,625,50,88.2,94.4,95.0,1.13,1.06,1.05
FC Midtjylland,1663,17.27,7382,719,477,73.8,81.0,85.8,1.35,1.23,1.17
FC Porto,1756,16.46,6662,335,938,66.6,70.0,79.4,1.5,1.43,1.26
SC Freiburg,1710,16.55,6536,495,888,65.4,70.3,79.2,1.53,1.42,1.26
Real Betis,1749,16.36,5961,540,970,59.6,65.0,74.7,1.68,1.54,1.34
AS Roma,1817,14.57,3115,328,1450,31.2,34.4,48.9,3.21,2.9,2.04
Genk,1615,14.49,2899,29,1275,29.0,29.3,42.0,3.45,3.42,2.38
VfB Stuttgart,1748,14.67,2598,1374,942,26.0,39.7,49.1,3.85,2.52,2.04
Ferencvarosi TC,1522,14.49,2567,206,1333,25.7,27.7,41.1,3.9,3.61,2.44
SC Braga,1656,14.16,2454,636,569,24.5,30.9,36.6,4.07,3.24,2.73
Lille,1758,14.05,2238,1198,435,22.4,34.4,38.7,4.47,2.91,2.58
Nottingham Forest,1778,13.75,1776,1327,35,17.8,31.0,31.4,5.63,3.22,3.19
Bologna,1773,13.62,1605,986,264,16.0,25.9,28.6,6.23,3.86,3.5
Celta Vigo,1681,13.12,1279,899,183,12.8,21.8,23.6,7.82,4.59,4.24
Plzen,1591,12.72,941,499,492,9.4,14.4,19.3,11,6.94,5.18
Panathinaikos,1558,12.59,848,237,677,8.5,10.8,17.6,12,9.22,5.68
Fenerbahçe,1691,12.61,691,9,850,6.9,7.0,15.5,14,14,6.45
Brann,1535,11.57,323,329,166,3.2,6.5,8.2,31,15,12
PAOK,1608,11.57,261,379,87,2.6,6.4,7.3,38,16,14
FK Crvena Zvezda,1571,11.15,249,29,213,2.5,2.8,4.9,40,36,20
Celtic,1611,10.45,159,22,78,1.6,1.8,2.6,63,55,39
Dinamo Zagreb,1523,10.5,140,0,95,1.4,1.4,2.4,71,71,43
FC Basel 1893,1508,9.0,9,37,26,0.1,0.5,0.7,1111,217,139
Ludogorets,1446,8.95,6,1,71,0.1,0.1,0.8,1667,1429,128
GO Ahead Eagles,1456,8.02,6,0,19,0.1,0.1,0.2,1667,1667,400
BSC Young Boys,1504,8.19,6,0,31,0.1,0.1,0.4,1667,1667,270
Sturm Graz,1487,7.43,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Feyenoord,1644,7.74,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Red Bull Salzburg,1504,5.42,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
FCSB,1431,5.59,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Utrecht,1539,4.14,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Rangers,1526,4.51,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Malmo FF,1449,3.26,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Maccabi Tel Aviv,1463,2.6,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Nice,1640,5.45,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
