Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Wisla Krakow,1468.22,69.21,9900,52,0,99.0,99.5,99.5,1.01,1.0,1.0
Wieczysta Kraków,1359.83,54.6,1835,546,8,18.4,23.8,23.9,5.45,4.2,4.19
Polonia Warszawa,1382.41,54.35,1782,68,419,17.8,18.5,22.7,5.61,5.41,4.41
Chrobry Głogów,1350.8,54.5,1671,290,247,16.7,19.6,22.1,5.98,5.1,4.53
Pogoń Grod. Mazowiecki,1341.77,52.6,907,206,121,9.1,11.1,12.3,11,8.98,8.1
Slask Wroclaw,1382.41,51.9,668,109,202,6.7,7.8,9.8,15,13,10
Miedz Legnica,1382.41,51.8,673,16,270,6.7,6.9,9.6,15,15,10
Stal Rzeszów,1334.99,51.16,484,1,225,4.8,4.9,7.1,21,21,14
Polonia Bytom,1339.51,50.49,354,143,40,3.5,5.0,5.4,28,20,19
ŁKS Łódź,1348.54,48.94,174,13,84,1.7,1.9,2.7,57,53,37
Ruch Chorzów,1353.06,47.29,79,24,31,0.8,1.0,1.3,127,97,75
Pogoń Siedlce,1316.93,41.78,2,0,1,0.0,0.0,0.0,5000,5000,3333
Odra Opole,1310.16,40.99,0,0,1,0.0,0.0,0.0,N/A,N/A,10000
Puszcza Niepołomice,1346.28,41.21,1,2,0,0.0,0.0,0.0,10000,3333,3333
Znicz Pruszków,1298.87,33.49,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Górnik Łęczna,1285.32,28.34,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Tychy 71,1294.35,28.64,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Stal Mielec,1294.35,28.5,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
