Club,Elo,xPts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Unia Skierniewice,1066.29,65.19,69.7,25.3,4.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olimpia Grudziądz,1066.29,61.83,17.8,37.4,39.0,4.7,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warta Poznań,1102.42,61.26,12.4,35.9,43.7,6.0,1.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Śląsk Wrocław II,1012.1,53.41,0.0,0.3,3.8,28.6,24.5,17.2,12.1,7.8,3.9,1.5,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Podhale Nowy Targ,1021.13,52.9,0.1,0.5,3.9,21.8,21.4,17.9,13.2,9.8,6.4,3.3,1.3,0.4,0.1,0.0,0.0,0.0,0.0,0.0
Podbeskidzie,1023.39,52.04,0.0,0.1,1.1,16.6,19.5,20.4,16.2,11.5,7.8,3.7,1.9,1.0,0.3,0.0,0.0,0.0,0.0,0.0
Sandecja Nowy Sącz,998.55,51.5,0.0,0.4,2.9,13.3,15.0,17.3,17.7,14.4,10.3,5.5,2.2,0.7,0.3,0.1,0.0,0.0,0.0,0.0
Chojniczanka Chojnice,1059.52,49.82,0.0,0.0,0.5,4.5,9.0,12.7,17.9,18.8,14.9,10.2,5.6,3.1,2.1,0.7,0.0,0.0,0.0,0.0
Świt Skolwin,1030.16,48.45,0.0,0.0,0.3,4.0,6.1,8.4,11.2,13.6,15.0,13.3,11.4,8.7,5.2,2.8,0.3,0.0,0.0,0.0
Hutnik Kraków,987.26,45.42,0.0,0.0,0.0,0.3,1.0,2.1,4.1,6.5,9.7,13.5,14.8,15.8,15.8,12.8,3.6,0.0,0.0,0.0
Rekord Bielsko-Biała,994.03,45.13,0.0,0.0,0.0,0.0,0.4,1.1,2.4,5.3,9.8,13.9,18.4,18.7,17.0,11.5,1.6,0.0,0.0,0.0
Resovia Rzeszów,1041.45,44.86,0.0,0.0,0.0,0.1,0.4,1.3,2.5,5.3,9.0,14.4,15.7,16.8,16.5,14.8,3.1,0.2,0.0,0.0
Stal Stalowa Wola,1055.0,44.38,0.0,0.0,0.0,0.0,0.1,0.6,1.5,4.4,8.2,12.4,15.1,16.7,16.5,19.2,5.0,0.1,0.0,0.0
Sokół Kleczew,1007.58,43.67,0.0,0.0,0.0,0.0,0.1,0.5,1.2,2.7,5.1,8.1,12.4,15.9,22.2,25.6,6.2,0.1,0.0,0.0
Zaglebie Sosnowiec,1003.07,37.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,2.2,3.9,11.4,59.6,18.5,3.1,0.0
Kalisz,987.26,33.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.1,17.5,58.0,23.2,0.0
ŁKS Łódź II,930.81,30.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.1,23.1,73.7,0.0
Jastrzębie,935.33,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
