Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Tychy 71,1188.22,26.92,8962,71,212,89.6,90.3,92.4,1.12,1.11,1.08
Górnik Łęczna,1188.22,28.03,8554,8,362,85.5,85.6,89.2,1.17,1.17,1.12
Stal Mielec,1185.96,29.83,7453,257,299,74.5,77.1,80.1,1.34,1.3,1.25
Znicz Pruszków,1197.25,33.66,3232,697,0,32.3,39.3,39.3,3.09,2.55,2.55
Odra Opole,1206.29,38.92,457,103,123,4.6,5.6,6.8,22,18,15
Pogoń Siedlce,1222.09,41.0,157,4,96,1.6,1.6,2.6,64,62,39
Puszcza Niepołomice,1262.74,43.25,43,1,41,0.4,0.4,0.8,233,227,118
Wisla Krakow,1386.93,68.46,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Polonia Warszawa,1303.38,56.56,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Pogoń Grod. Mazowiecki,1246.93,53.99,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Ruch Chorzów,1251.45,48.76,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Stal Rzeszów,1231.13,49.31,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Miedz Legnica,1283.06,51.24,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Polonia Bytom,1242.42,49.29,1,0,0,0.0,0.0,0.0,10000,10000,10000
Slask Wroclaw,1298.87,53.68,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Wieczysta Kraków,1274.03,53.65,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Chrobry Głogów,1269.51,53.92,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
ŁKS Łódź,1265.0,48.85,0,0,1,0.0,0.0,0.0,N/A,N/A,10000
