Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Jastrzębie,935.33,23.22,9977,11,3,99.8,99.9,99.9,1.0,1.0,1.0
ŁKS Łódź II,930.81,28.61,9676,73,47,96.8,97.5,98.0,1.03,1.03,1.02
Kalisz,987.26,37.73,5302,274,424,53.0,55.8,60.0,1.89,1.79,1.67
Hutnik Kraków,987.26,39.59,3726,227,480,37.3,39.5,44.3,2.68,2.53,2.26
Rekord Bielsko-Biała,994.03,40.03,3365,523,144,33.7,38.9,40.3,2.97,2.57,2.48
Sokół Kleczew,1007.58,43.62,1221,39,386,12.2,12.6,16.5,8.19,7.94,6.08
Zaglebie Sosnowiec,1003.07,44.28,1050,342,7,10.5,13.9,14.0,9.52,7.18,7.15
Śląsk Wrocław II,1012.1,44.11,1012,17,331,10.1,10.3,13.6,9.88,9.72,7.35
Sandecja Nowy Sącz,998.55,44.93,887,260,49,8.9,11.5,12.0,11,8.72,8.36
Podbeskidzie,1023.39,45.54,659,210,66,6.6,8.7,9.4,15,12,11
Resovia Rzeszów,1041.45,46.75,388,74,79,3.9,4.6,5.4,26,22,18
Chojniczanka Chojnice,1059.52,46.93,384,49,127,3.8,4.3,5.6,26,23,18
Stal Stalowa Wola,1055.0,48.28,214,3,113,2.1,2.2,3.3,47,46,30
Świt Skolwin,1030.16,52.84,17,13,4,0.2,0.3,0.3,588,333,294
Warta Poznań,1102.42,63.08,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Unia Skierniewice,1066.29,64.36,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Olimpia Grudziądz,1066.29,56.88,1,1,0,0.0,0.0,0.0,10000,5000,5000
Podhale Nowy Targ,1021.13,55.03,0,5,0,0.0,0.0,0.0,N/A,2000,2000
