Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Jastrzębie,1014.36,22.82,9963,11,3,99.6,99.7,99.8,1.0,1.0,1.0
ŁKS Łódź II,1027.9,28.86,9537,100,40,95.4,96.4,96.8,1.05,1.04,1.03
Kalisz,1077.58,37.72,4746,221,491,47.5,49.7,54.6,2.11,2.01,1.83
Hutnik Kraków,1073.06,38.36,4306,260,444,43.1,45.7,50.1,2.32,2.19,2.0
Rekord Bielsko-Biała,1061.77,38.87,3885,535,131,38.8,44.2,45.5,2.57,2.26,2.2
Zaglebie Sosnowiec,1070.81,41.58,1908,520,39,19.1,24.3,24.7,5.24,4.12,4.05
Śląsk Wrocław II,1088.87,41.97,1594,129,347,15.9,17.2,20.7,6.27,5.8,4.83
Sokół Kleczew,1095.64,43.39,1074,15,370,10.7,10.9,14.6,9.31,9.18,6.85
Sandecja Nowy Sącz,1097.9,47.21,243,113,5,2.4,3.6,3.6,41,28,28
Chojniczanka Chojnice,1158.87,47.27,237,28,96,2.4,2.6,3.6,42,38,28
Resovia Rzeszów,1118.22,47.38,199,51,48,2.0,2.5,3.0,50,40,34
Stal Stalowa Wola,1140.8,48.06,167,2,95,1.7,1.7,2.6,60,59,38
Podbeskidzie,1145.32,48.74,106,32,30,1.1,1.4,1.7,94,72,60
Świt Skolwin,1143.06,53.77,8,3,0,0.1,0.1,0.1,1250,909,909
Warta Poznań,1192.74,63.07,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Unia Skierniewice,1183.71,65.71,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Podhale Nowy Targ,1122.74,54.08,4,2,0,0.0,0.1,0.1,2500,1667,1667
Olimpia Grudziądz,1152.09,58.39,1,0,0,0.0,0.0,0.0,10000,10000,10000
