Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Arsenal,2037,21.45,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Paris Saint Germain,1982,17.58,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Bayern München,1988,18.18,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Inter,1917,16.16,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Real Madrid,1934,17.45,10000,0,0,100.0,100.0,100.0,1.0,1.0,1.0
Manchester City,1956,15.65,9995,5,0,100.0,100.0,100.0,1.0,1.0,1.0
Borussia Dortmund,1855,14.94,9986,14,0,99.9,100.0,100.0,1.0,1.0,1.0
Chelsea,1912,15.45,9990,10,0,99.9,100.0,100.0,1.0,1.0,1.0
Atalanta,1795,14.36,9950,11,39,99.5,99.6,100.0,1.01,1.0,1.0
Liverpool,1918,14.22,9914,57,19,99.1,99.7,99.9,1.01,1.0,1.0
Sporting CP,1814,13.13,9893,106,0,98.9,100.0,100.0,1.01,1.0,1.0
Atletico Madrid,1875,14.25,9882,79,24,98.8,99.6,99.9,1.01,1.0,1.0
Barcelona,1917,13.52,9738,157,4,97.4,99.0,99.0,1.03,1.01,1.01
Bayer Leverkusen,1874,13.34,9548,58,258,95.5,96.1,98.6,1.05,1.04,1.01
Newcastle,1856,12.55,9515,422,2,95.2,99.4,99.4,1.05,1.01,1.01
Tottenham,1809,12.74,9283,404,67,92.8,96.9,97.5,1.08,1.03,1.03
Galatasaray,1718,11.71,8865,420,553,88.6,92.8,98.4,1.13,1.08,1.02
PSV Eindhoven,1813,11.46,8297,1070,26,83.0,93.7,93.9,1.21,1.07,1.06
Napoli,1824,11.4,8198,172,693,82.0,83.7,90.6,1.22,1.19,1.1
Juventus,1793,11.34,8142,866,139,81.4,90.1,91.5,1.23,1.11,1.09
Qarabag,1567,9.88,6147,837,602,61.5,69.8,75.9,1.63,1.43,1.32
Marseille,1787,9.72,5667,1478,59,56.7,71.4,72.0,1.76,1.4,1.39
Monaco,1710,9.42,5251,1057,594,52.5,63.1,69.0,1.9,1.59,1.45
Union St. Gilloise,1741,9.37,5197,3,1699,52.0,52.0,69.0,1.92,1.92,1.45
Club Brugge KV,1740,8.66,4025,809,483,40.2,48.3,53.2,2.48,2.07,1.88
Eintracht Frankfurt,1748,7.76,2501,249,991,25.0,27.5,37.4,4.0,3.64,2.67
Pafos,1555,7.97,2383,331,1336,23.8,27.1,40.5,4.2,3.68,2.47
Athletic Club,1719,7.05,1520,388,523,15.2,19.1,24.3,6.58,5.24,4.11
Benfica,1782,6.7,1380,798,234,13.8,21.8,24.1,7.25,4.59,4.15
Olympiakos Piraeus,1683,6.83,1119,517,786,11.2,16.4,24.2,8.94,6.11,4.13
Slavia Praha,1689,6.23,968,351,430,9.7,13.2,17.5,10,7.58,5.72
Villarreal,1777,6.22,781,344,191,7.8,11.2,13.2,13,8.89,7.6
FC Copenhagen,1603,5.95,564,84,348,5.6,6.5,10.0,18,15,10.0
Bodo/Glimt,1639,3.75,50,97,18,0.5,1.5,1.6,200,68,61.0
Ajax,1567,2.93,49,8,63,0.5,0.6,1.2,204,175,83.0
Kairat Almaty,1303,1.92,0,0,4,0.0,0.0,0.0,N/A,N/A,2500.0
