Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Nieciecza,1341.77,35.85,2744,464,136,27.4,32.1,33.4,3.64,3.12,2.99
Lechia Gdansk,1384.67,38.66,1225,20,395,12.2,12.4,16.4,8.16,8.03,6.1
Piast Gliwice,1402.73,38.78,1206,54,334,12.1,12.6,15.9,8.29,7.94,6.27
Widzew Łódź,1391.44,38.86,1098,105,244,11.0,12.0,14.5,9.11,8.31,6.91
Arka Gdynia,1375.64,39.09,924,370,0,9.2,12.9,12.9,11,7.73,7.73
Motor Lublin,1398.22,40.23,702,145,121,7.0,8.5,9.7,14,12,10
GKS Katowice,1427.57,42.12,352,77,82,3.5,4.3,5.1,28,23,20
Pogon Szczecin,1465.96,43.82,165,43,48,1.6,2.1,2.6,61,48,39
Legia Warszawa,1497.57,45.23,88,14,41,0.9,1.0,1.4,114,98,70
Zaglebie Lubin,1414.02,45.7,72,18,28,0.7,0.9,1.2,139,111,85
Radomiak Radom,1420.8,46.57,48,4,22,0.5,0.5,0.7,208,192,135
Korona Kielce,1452.41,46.21,40,13,31,0.4,0.5,0.8,250,189,119
Gornik Zabrze,1513.38,55.27,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Wisla Plock,1443.38,51.29,1,1,1,0.0,0.0,0.0,10000,5000,3333
Lech Poznan,1520.15,53.42,0,1,0,0.0,0.0,0.0,N/A,10000,10000
Raków Częstochowa,1549.5,58.34,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Jagiellonia,1529.18,57.84,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Cracovia Krakow,1481.76,51.02,4,2,0,0.0,0.1,0.1,2500,1667,1667
