Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + Wins in TB,% Wins + all TB
Arsenal,2037,21.46,10000,0,0,100.0,100.0,100.0
Paris Saint Germain,1982,17.57,10000,0,0,100.0,100.0,100.0
Bayern München,1988,18.19,10000,0,0,100.0,100.0,100.0
Inter,1917,16.14,10000,0,0,100.0,100.0,100.0
Real Madrid,1934,17.44,10000,0,0,100.0,100.0,100.0
Manchester City,1956,15.59,9997,3,0,100.0,100.0,100.0
Borussia Dortmund,1855,14.9,9992,7,1,99.9,100.0,100.0
Chelsea,1912,15.43,9986,14,0,99.9,100.0,100.0
Atalanta,1795,14.37,9956,9,35,99.6,99.6,100.0
Liverpool,1918,14.21,9898,61,19,99.0,99.6,99.8
Sporting CP,1814,13.13,9892,107,1,98.9,100.0,100.0
Atletico Madrid,1875,14.26,9886,85,12,98.9,99.7,99.8
Barcelona,1917,13.54,9741,145,6,97.4,98.9,98.9
Bayer Leverkusen,1874,13.29,9557,45,234,95.6,96.0,98.4
Newcastle,1856,12.56,9493,448,2,94.9,99.4,99.4
Tottenham,1809,12.75,9312,384,64,93.1,97.0,97.6
Galatasaray,1718,11.74,8927,386,512,89.3,93.1,98.2
PSV Eindhoven,1813,11.49,8400,1011,22,84.0,94.1,94.3
Napoli,1824,11.41,8295,174,645,83.0,84.7,91.1
Juventus,1793,11.3,8135,851,108,81.4,89.9,90.9
Qarabag,1567,9.9,6196,781,632,62.0,69.8,76.1
Marseille,1787,9.74,5718,1376,68,57.2,70.9,71.6
Monaco,1710,9.46,5337,1040,618,53.4,63.8,70.0
Union St. Gilloise,1741,9.35,5151,4,1658,51.5,51.6,68.1
Club Brugge KV,1740,8.66,4014,848,521,40.1,48.6,53.8
Eintracht Frankfurt,1748,7.75,2519,224,905,25.2,27.4,36.5
Pafos,1555,7.94,2373,270,1341,23.7,26.4,39.8
Athletic Club,1719,7.04,1490,358,576,14.9,18.5,24.2
Benfica,1782,6.71,1373,767,229,13.7,21.4,23.7
Olympiakos Piraeus,1683,6.85,1124,541,796,11.2,16.7,24.6
Slavia Praha,1689,6.28,958,354,465,9.6,13.1,17.8
Villarreal,1777,6.23,770,376,212,7.7,11.5,13.6
FC Copenhagen,1603,5.95,551,100,406,5.5,6.5,10.6
Bodo/Glimt,1639,3.76,43,102,26,0.4,1.5,1.7
Ajax,1567,2.93,41,3,60,0.4,0.4,1.0
Kairat Almaty,1303,1.92,1,0,4,0.0,0.0,0.0
