Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Nieciecza,1341.77,33.82,3998,376,272,40.0,43.7,46.5,2.5,2.29,2.15
Piast Gliwice,1402.73,37.12,1776,13,375,17.8,17.9,21.6,5.63,5.59,4.62
Arka Gdynia,1375.64,37.59,1404,394,0,14.0,18.0,18.0,7.12,5.56,5.56
Widzew Łódź,1391.44,39.96,616,36,194,6.2,6.5,8.5,16,15,12
Motor Lublin,1398.22,41.48,336,93,64,3.4,4.3,4.9,30,23,20
Lechia Gdansk,1384.67,41.99,276,55,68,2.8,3.3,4.0,36,30,25
GKS Katowice,1427.57,42.77,231,52,57,2.3,2.8,3.4,43,35,29
Zaglebie Lubin,1414.02,44.46,97,9,57,1.0,1.1,1.6,103,94,61
Pogon Szczecin,1465.96,44.43,99,15,40,1.0,1.1,1.5,101,88,65
Legia Warszawa,1497.57,46.71,47,5,23,0.5,0.5,0.8,213,192,133
Korona Kielce,1452.41,46.76,33,7,15,0.3,0.4,0.5,303,250,182
Radomiak Radom,1420.8,46.61,28,2,13,0.3,0.3,0.4,357,333,233
Wisla Plock,1443.38,51.39,1,0,1,0.0,0.0,0.0,10000,10000,5000
Gornik Zabrze,1513.38,56.73,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Lech Poznan,1520.15,53.74,0,1,0,0.0,0.0,0.0,N/A,10000,10000
Jagiellonia,1529.18,59.53,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Cracovia Krakow,1481.76,51.48,0,0,1,0.0,0.0,0.0,N/A,N/A,10000
Raków Częstochowa,1549.5,57.27,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
