Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Unia Skierniewice,1183.71,67.42,6811,328,217,68.1,71.4,73.6,1.47,1.4,1.36
Warta Poznań,1192.74,62.19,1701,11,416,17.0,17.1,21.3,5.88,5.84,4.7
Olimpia Grudziądz,1152.09,59.71,699,262,19,7.0,9.6,9.8,14,10,10
Podhale Nowy Targ,1122.74,53.89,97,29,13,1.0,1.3,1.4,103,79,72
Świt Skolwin,1143.06,52.32,34,5,4,0.3,0.4,0.4,294,256,233
Sandecja Nowy Sącz,1097.9,48.37,4,0,0,0.0,0.0,0.0,2500,2500,2500
Podbeskidzie,1145.32,48.19,3,4,0,0.0,0.1,0.1,3333,1429,1429
Resovia Rzeszów,1118.22,46.23,2,0,0,0.0,0.0,0.0,5000,5000,5000
Stal Stalowa Wola,1140.8,47.51,3,3,0,0.0,0.1,0.1,3333,1667,1667
Śląsk Wrocław II,1088.87,43.69,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Chojniczanka Chojnice,1158.87,47.02,1,2,0,0.0,0.0,0.0,10000,3333,3333
Sokół Kleczew,1095.64,41.79,1,0,0,0.0,0.0,0.0,10000,10000,10000
Hutnik Kraków,1073.06,39.86,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Rekord Bielsko-Biała,1061.77,40.79,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Zaglebie Sosnowiec,1070.81,40.25,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Kalisz,1077.58,36.49,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
ŁKS Łódź II,1027.9,29.19,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Jastrzębie,1014.36,21.75,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
