Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Unia Skierniewice,1183.71,67.34,8969,98,146,89.7,90.7,92.1,1.11,1.1,1.09
Warta Poznań,1192.74,62.15,5793,12,603,57.9,58.0,64.1,1.73,1.72,1.56
Olimpia Grudziądz,1152.09,59.85,3391,521,97,33.9,39.1,40.1,2.95,2.56,2.49
Podhale Nowy Targ,1122.74,53.82,471,124,61,4.7,5.9,6.6,21,17,15
Świt Skolwin,1143.06,52.33,291,81,49,2.9,3.7,4.2,34,27,24
Sandecja Nowy Sącz,1097.9,48.39,47,22,7,0.5,0.7,0.8,213,145,132
Podbeskidzie,1145.32,48.12,40,25,0,0.4,0.6,0.6,250,154,154
Stal Stalowa Wola,1140.8,47.44,26,18,0,0.3,0.4,0.4,385,227,227
Chojniczanka Chojnice,1158.87,47.02,19,22,1,0.2,0.4,0.4,526,244,238
Resovia Rzeszów,1118.22,46.3,11,8,0,0.1,0.2,0.2,909,526,526
Śląsk Wrocław II,1088.87,43.74,5,5,0,0.0,0.1,0.1,2000,1000,1000
Sokół Kleczew,1095.64,41.79,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Hutnik Kraków,1073.06,39.87,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Rekord Bielsko-Biała,1061.77,40.81,0,0,1,0.0,0.0,0.0,N/A,N/A,10000
Zaglebie Sosnowiec,1070.81,40.23,1,0,0,0.0,0.0,0.0,10000,10000,10000
Kalisz,1077.58,36.58,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
ŁKS Łódź II,1027.9,29.15,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Jastrzębie,1014.36,21.76,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
