Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Unia Skierniewice,1183.71,65.62,9971,6,10,99.7,99.8,99.9,1.0,1.0,1.0
Warta Poznań,1192.74,63.08,9898,0,43,99.0,99.0,99.4,1.01,1.01,1.01
Olimpia Grudziądz,1152.09,58.37,9312,102,106,93.1,94.1,95.2,1.07,1.06,1.05
Podhale Nowy Targ,1122.74,54.03,7338,97,447,73.4,74.4,78.8,1.36,1.34,1.27
Świt Skolwin,1143.06,53.78,7073,99,494,70.7,71.7,76.7,1.41,1.39,1.3
Podbeskidzie,1145.32,48.77,3179,353,345,31.8,35.3,38.8,3.15,2.83,2.58
Stal Stalowa Wola,1140.8,48.09,2669,650,0,26.7,33.2,33.2,3.75,3.01,3.01
Chojniczanka Chojnice,1158.87,47.35,2288,422,147,22.9,27.1,28.6,4.37,3.69,3.5
Resovia Rzeszów,1118.22,47.3,2141,338,257,21.4,24.8,27.4,4.67,4.03,3.65
Sandecja Nowy Sącz,1097.9,47.14,2080,59,464,20.8,21.4,26.0,4.81,4.68,3.84
Sokół Kleczew,1095.64,43.4,698,229,39,7.0,9.3,9.7,14,11,10
Śląsk Wrocław II,1088.87,41.94,313,107,53,3.1,4.2,4.7,32,24,21
Zaglebie Sosnowiec,1070.81,41.58,306,7,155,3.1,3.1,4.7,33,32,21
Rekord Bielsko-Biała,1061.77,38.94,92,15,42,0.9,1.1,1.5,109,93,67
Hutnik Kraków,1073.06,38.35,57,27,20,0.6,0.8,1.0,175,119,96
Kalisz,1077.58,37.79,52,22,20,0.5,0.7,0.9,192,135,106
ŁKS Łódź II,1027.9,28.81,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Jastrzębie,1014.36,22.89,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
