Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Unia Skierniewice,1183.71,65.75,8400,219,150,84.0,86.2,87.7,1.19,1.16,1.14
Warta Poznań,1192.74,63.14,6696,7,534,67.0,67.0,72.4,1.49,1.49,1.38
Olimpia Grudziądz,1152.09,58.45,2449,477,51,24.5,29.3,29.8,4.08,3.42,3.36
Świt Skolwin,1143.06,53.74,638,83,126,6.4,7.2,8.5,16,14,12
Podhale Nowy Targ,1122.74,54.01,582,99,123,5.8,6.8,8.0,17,15,12
Podbeskidzie,1145.32,48.8,69,24,9,0.7,0.9,1.0,145,108,98
Stal Stalowa Wola,1140.8,48.15,55,26,0,0.5,0.8,0.8,182,123,123
Sandecja Nowy Sącz,1097.9,47.19,46,3,18,0.5,0.5,0.7,217,204,149
Chojniczanka Chojnice,1158.87,47.39,42,20,0,0.4,0.6,0.6,238,161,161
Resovia Rzeszów,1118.22,47.31,32,18,0,0.3,0.5,0.5,312,200,200
Sokół Kleczew,1095.64,43.36,2,4,0,0.0,0.1,0.1,5000,1667,1667
Śląsk Wrocław II,1088.87,41.91,3,2,0,0.0,0.0,0.0,3333,2000,2000
Zaglebie Sosnowiec,1070.81,41.51,4,0,0,0.0,0.0,0.0,2500,2500,2500
Hutnik Kraków,1073.06,38.35,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Rekord Bielsko-Biała,1061.77,38.88,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Kalisz,1077.58,37.71,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
ŁKS Łódź II,1027.9,28.86,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Jastrzębie,1014.36,22.73,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
