Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Aston Villa,1880,18.63,9081,116,468,90.8,92.0,96.6,1.1,1.09,1.03
Lyon,1743,18.36,8828,625,49,88.3,94.5,95.0,1.13,1.06,1.05
FC Midtjylland,1663,17.3,7444,760,456,74.4,82.0,86.6,1.34,1.22,1.15
FC Porto,1756,16.45,6670,354,874,66.7,70.2,79.0,1.5,1.42,1.27
SC Freiburg,1710,16.52,6467,488,938,64.7,69.6,78.9,1.55,1.44,1.27
Real Betis,1749,16.41,6046,563,967,60.5,66.1,75.8,1.65,1.51,1.32
AS Roma,1817,14.53,3039,343,1451,30.4,33.8,48.3,3.29,2.96,2.07
Genk,1615,14.48,2916,31,1252,29.2,29.5,42.0,3.43,3.39,2.38
VfB Stuttgart,1748,14.69,2656,1323,1005,26.6,39.8,49.8,3.77,2.51,2.01
Ferencvarosi TC,1522,14.45,2515,197,1303,25.2,27.1,40.2,3.98,3.69,2.49
SC Braga,1656,14.14,2438,602,589,24.4,30.4,36.3,4.1,3.29,2.76
Lille,1758,14.08,2290,1211,452,22.9,35.0,39.5,4.37,2.86,2.53
Nottingham Forest,1778,13.77,1779,1370,44,17.8,31.5,31.9,5.62,3.18,3.13
Bologna,1773,13.61,1573,963,295,15.7,25.4,28.3,6.36,3.94,3.53
Celta Vigo,1681,13.13,1312,980,208,13.1,22.9,25.0,7.62,4.36,4.0
Plzen,1591,12.71,859,462,525,8.6,13.2,18.5,12,7.57,5.42
Panathinaikos,1558,12.57,828,241,750,8.3,10.7,18.2,12,9.35,5.5
Fenerbahçe,1691,12.61,702,12,747,7.0,7.1,14.6,14,14,6.84
Brann,1535,11.57,315,294,180,3.2,6.1,7.9,32,16,13
FK Crvena Zvezda,1571,11.19,305,28,234,3.0,3.3,5.7,33,30,18
PAOK,1608,11.52,264,379,85,2.6,6.4,7.3,38,16,14
Celtic,1611,10.46,120,31,69,1.2,1.5,2.2,83,66,45
Dinamo Zagreb,1523,10.47,115,0,95,1.2,1.2,2.1,87,87,48
FC Basel 1893,1508,9.01,7,46,26,0.1,0.5,0.8,1429,189,127
BSC Young Boys,1504,8.22,7,0,26,0.1,0.1,0.3,1429,1429,303
Ludogorets,1446,9.0,3,1,59,0.0,0.0,0.6,3333,2500,159
GO Ahead Eagles,1456,8.05,1,0,23,0.0,0.0,0.2,10000,10000,417
Sturm Graz,1487,7.4,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Feyenoord,1644,7.71,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
FCSB,1431,5.6,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Red Bull Salzburg,1504,5.42,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Utrecht,1539,4.14,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Rangers,1526,4.52,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Malmo FF,1449,3.26,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Maccabi Tel Aviv,1463,2.58,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Nice,1640,5.42,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
