Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Raków Częstochowa,1549.5,58.27,3228,17,496,32.3,32.4,37.4,3.1,3.08,2.67
Jagiellonia,1529.18,57.79,2834,411,117,28.3,32.4,33.6,3.53,3.08,2.97
Gornik Zabrze,1513.38,55.2,1349,93,262,13.5,14.4,17.0,7.41,6.93,5.87
Lech Poznan,1520.15,53.42,782,156,119,7.8,9.4,10.6,13,11,9.46
Wisla Plock,1443.38,51.31,334,129,17,3.3,4.6,4.8,30,22,21
Cracovia Krakow,1481.76,50.87,294,78,43,2.9,3.7,4.2,34,27,24
Radomiak Radom,1420.8,46.71,57,31,2,0.6,0.9,0.9,175,114,111
Zaglebie Lubin,1414.02,45.82,50,15,3,0.5,0.6,0.7,200,154,147
Korona Kielce,1452.41,46.21,40,13,8,0.4,0.5,0.6,250,189,164
Legia Warszawa,1497.57,45.33,27,17,1,0.3,0.4,0.4,370,227,222
Lechia Gdansk,1384.67,43.76,10,8,5,0.1,0.2,0.2,1000,556,435
Pogon Szczecin,1465.96,43.76,6,11,2,0.1,0.2,0.2,1667,588,526
Widzew Łódź,1391.44,38.99,0,2,0,0.0,0.0,0.0,N/A,5000,5000
Arka Gdynia,1375.64,39.09,1,0,0,0.0,0.0,0.0,10000,10000,10000
GKS Katowice,1427.57,42.09,3,1,1,0.0,0.0,0.0,3333,2500,2000
Motor Lublin,1398.22,40.13,2,1,2,0.0,0.0,0.0,5000,3333,2000
Nieciecza,1341.77,35.75,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Piast Gliwice,1402.73,38.82,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
