Club,Elo,xPts,Top 1 %,Top 1 Odds,Top 2 %,Top 2 Odds,Top 3 %,Top 3 Odds,Top 4 %,Top 4 Odds
Lech Poznan,1517.88,57.32,66.7,1.5,86.7,1.15,93.6,1.07,96.7,1.03
Jagiellonia,1467.09,52.6,10.9,9.17,35.6,2.81,54.0,1.85,67.3,1.49
Gornik Zabrze,1447.34,52.26,9.2,10.87,28.0,3.57,48.5,2.06,65.3,1.53
Zaglebie Lubin,1410.66,50.73,4.5,22.22,17.8,5.62,31.7,3.15,46.5,2.15
Raków Częstochowa,1489.66,50.5,3.7,27.03,14.4,6.94,28.1,3.56,42.3,2.36
GKS Katowice,1421.94,48.54,2.1,47.62,6.2,16.13,12.7,7.87,21.6,4.63
Wisla Plock,1379.62,48.17,1.8,55.56,4.8,20.83,12.3,8.13,21.3,4.69
Lechia Gdansk,1416.3,46.55,0.5,200.0,1.8,55.56,5.7,17.54,10.0,10.0
Motor Lublin,1396.55,46.45,0.5,200.0,2.7,37.04,5.7,17.54,10.8,9.26
Pogon Szczecin,1396.55,42.57,0.1,1000.0,0.2,500.0,0.4,250.0,1.2,83.33
Widzew Łódź,1368.33,39.21,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
Arka Gdynia,1351.4,40.63,0.0,N/A,0.0,N/A,0.2,500.0,0.2,500.0
Radomiak Radom,1382.44,42.56,0.0,N/A,0.1,1000.0,0.3,333.33,1.2,83.33
Cracovia Krakow,1407.83,45.89,0.0,N/A,0.7,142.86,3.0,33.33,6.7,14.93
Legia Warszawa,1438.87,43.43,0.0,N/A,0.4,250.0,0.6,166.67,1.0,100.0
Korona Kielce,1393.73,44.88,0.0,N/A,0.1,1000.0,1.6,62.5,3.8,26.32
Piast Gliwice,1405.01,44.94,0.0,N/A,0.5,200.0,1.6,62.5,4.1,24.39
Nieciecza,1303.43,32.41,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
