Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Górnik Łęczna,1176.93,28.32,8552,51,318,85.5,86.0,89.2,1.17,1.16,1.12
Stal Mielec,1185.96,30.82,7249,351,215,72.5,76.0,78.1,1.38,1.32,1.28
Tychy 71,1185.96,30.9,6984,278,289,69.8,72.6,75.5,1.43,1.38,1.32
Znicz Pruszków,1190.48,35.06,3462,663,0,34.6,41.2,41.2,2.89,2.42,2.42
Puszcza Niepołomice,1246.93,39.94,878,22,317,8.8,9.0,12.2,11,11,8.22
Odra Opole,1192.74,40.03,789,106,193,7.9,9.0,10.9,13,11,9.19
Pogoń Siedlce,1208.54,41.23,547,18,201,5.5,5.6,7.7,18,18,13
ŁKS Łódź,1251.45,47.39,22,9,8,0.2,0.3,0.4,455,323,256
Stal Rzeszów,1215.32,50.07,6,2,1,0.1,0.1,0.1,1667,1250,1111
Wieczysta Kraków,1242.42,50.78,6,0,1,0.1,0.1,0.1,1667,1667,1429
Polonia Bytom,1253.71,54.76,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Wisla Krakow,1382.41,70.7,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Miedz Legnica,1276.29,52.52,0,1,0,0.0,0.0,0.0,N/A,10000,10000
Polonia Warszawa,1283.06,52.51,1,2,0,0.0,0.0,0.0,10000,3333,3333
Pogoń Grod. Mazowiecki,1231.13,52.89,0,0,2,0.0,0.0,0.0,N/A,N/A,5000
Chrobry Głogów,1235.64,50.93,1,0,4,0.0,0.0,0.0,10000,10000,2000
Slask Wroclaw,1289.83,52.61,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Ruch Chorzów,1258.22,50.99,0,0,1,0.0,0.0,0.0,N/A,N/A,10000
