Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Raków Częstochowa,1549.5,58.28,8225,16,374,82.2,82.4,86.2,1.22,1.21,1.16
Jagiellonia,1529.18,57.89,7914,198,233,79.1,81.1,83.4,1.26,1.23,1.2
Gornik Zabrze,1513.38,55.16,6261,85,537,62.6,63.5,68.8,1.6,1.58,1.45
Lech Poznan,1520.15,53.4,4890,217,460,48.9,51.1,55.7,2.04,1.96,1.8
Wisla Plock,1443.38,51.31,3254,437,201,32.5,36.9,38.9,3.07,2.71,2.57
Cracovia Krakow,1481.76,51.04,3100,348,313,31.0,34.5,37.6,3.23,2.9,2.66
Radomiak Radom,1420.8,46.58,859,287,42,8.6,11.5,11.9,12.0,8.73,8.42
Zaglebie Lubin,1414.02,45.69,707,214,27,7.1,9.2,9.5,14.0,11.0,11.0
Korona Kielce,1452.41,46.14,695,202,72,7.0,9.0,9.7,14.0,11.0,10.0
Legia Warszawa,1497.57,45.24,608,221,22,6.1,8.3,8.5,16.0,12.0,12.0
Lechia Gdansk,1384.67,43.86,350,52,95,3.5,4.0,5.0,29.0,25.0,20.0
Pogon Szczecin,1465.96,43.75,321,73,70,3.2,3.9,4.6,31.0,25.0,22.0
GKS Katowice,1427.57,42.04,161,22,61,1.6,1.8,2.4,62.0,55.0,41.0
Motor Lublin,1398.22,40.22,96,7,37,1.0,1.0,1.4,104.0,97.0,71.0
Piast Gliwice,1402.73,38.84,46,34,0,0.5,0.8,0.8,217.0,125.0,125.0
Arka Gdynia,1375.64,39.14,38,0,16,0.4,0.4,0.5,263.0,263.0,185.0
Widzew Łódź,1391.44,38.92,34,22,2,0.3,0.6,0.6,294.0,179.0,172.0
Nieciecza,1341.77,35.79,6,0,5,0.1,0.1,0.1,1667.0,1667.0,909.0
