Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Jastrzębie,1003.07,22.83,9980,6,3,99.8,99.9,99.9,1.0,1.0,1.0
ŁKS Łódź II,1016.61,28.9,9581,92,56,95.8,96.7,97.3,1.04,1.03,1.03
Kalisz,1066.29,37.73,5106,264,429,51.1,53.7,58.0,1.96,1.86,1.72
Rekord Bielsko-Biała,1050.48,38.93,4129,555,133,41.3,46.8,48.2,2.42,2.13,2.08
Hutnik Kraków,1068.55,39.84,3398,212,444,34.0,36.1,40.5,2.94,2.77,2.47
Zaglebie Sosnowiec,1068.55,43.5,1239,390,10,12.4,16.3,16.4,8.07,6.14,6.1
Sokół Kleczew,1084.35,43.4,1203,35,359,12.0,12.4,16.0,8.31,8.08,6.26
Śląsk Wrocław II,1095.64,44.12,934,10,347,9.3,9.4,12.9,11,11,7.75
Sandecja Nowy Sącz,1077.58,44.96,814,235,49,8.1,10.5,11.0,12,9.53,9.11
Resovia Rzeszów,1100.16,45.65,509,107,123,5.1,6.2,7.4,20,16,14
Podbeskidzie,1115.97,46.11,470,146,72,4.7,6.2,6.9,21,16,15
Chojniczanka Chojnice,1145.32,47.18,319,38,129,3.2,3.6,4.9,31,28,21
Stal Stalowa Wola,1129.51,47.97,204,2,123,2.0,2.1,3.3,49,49,30
Świt Skolwin,1131.77,53.69,7,5,5,0.1,0.1,0.2,1429,833,588
Warta Poznań,1181.45,63.13,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Unia Skierniewice,1172.42,65.72,0,0,0,0.0,0.0,0.0,N/A,N/A,N/A
Olimpia Grudziądz,1131.77,56.36,3,2,2,0.0,0.0,0.1,3333,2000,1429
Podhale Nowy Targ,1120.48,55.91,1,4,0,0.0,0.0,0.0,10000,2000,2000
