Club,Elo,xPts,Wins,Wins in TB,Losses in TB,% Wins,% Wins + won TB,% Wins + all TB,Odds % Wins,Odds % Wins + won TB,Odds % Wins + all TB
Raków Częstochowa,1549.5,58.32,8187,10,404,81.9,82.0,86.0,1.22,1.22,1.16
Jagiellonia,1529.18,57.91,7966,205,239,79.7,81.7,84.1,1.26,1.22,1.19
Gornik Zabrze,1513.38,55.19,6359,72,533,63.6,64.3,69.6,1.57,1.55,1.44
Lech Poznan,1520.15,53.4,4922,257,458,49.2,51.8,56.4,2.03,1.93,1.77
Wisla Plock,1443.38,51.34,3278,456,210,32.8,37.3,39.4,3.05,2.68,2.54
Cracovia Krakow,1481.76,50.86,3000,373,321,30.0,33.7,36.9,3.33,2.96,2.71
Radomiak Radom,1420.8,46.58,876,269,36,8.8,11.5,11.8,11.0,8.73,8.47
Korona Kielce,1452.41,46.13,820,215,78,8.2,10.4,11.1,12.0,9.66,8.98
Zaglebie Lubin,1414.02,45.82,731,215,35,7.3,9.5,9.8,14.0,11.0,10.0
Legia Warszawa,1497.57,45.28,626,219,16,6.3,8.5,8.6,16.0,12.0,12.0
Pogon Szczecin,1465.96,43.8,326,95,75,3.3,4.2,5.0,31.0,24.0,20.0
GKS Katowice,1427.57,42.01,155,22,73,1.6,1.8,2.5,65.0,56.0,40.0
Motor Lublin,1398.22,40.26,86,9,28,0.9,1.0,1.2,116.0,105.0,81.0
Piast Gliwice,1402.73,38.85,46,33,1,0.5,0.8,0.8,217.0,127.0,125.0
Widzew Łódź,1391.44,38.92,37,25,6,0.4,0.6,0.7,270.0,161.0,147.0
Lechia Gdansk,1384.67,38.89,42,24,0,0.4,0.7,0.7,238.0,152.0,152.0
Arka Gdynia,1375.64,39.05,37,0,25,0.4,0.4,0.6,270.0,270.0,161.0
Nieciecza,1341.77,35.71,7,0,5,0.1,0.1,0.1,1429.0,1429.0,833.0
